year,age,goals,pim,assists,plus_minus,league,games_played,team,points
2001-02,17,5,8,3,0,Fin-U18,22,Tappara Tampere U18,8
2002-03,18,7,12,10,0,Fin-Jr.,36,Tappara Tampere Jr.,17
2003-04,19,1,4,1,0,Finland-2,6,Suomi U20,2
2003-04,19,3,8,12,0,Fin-Jr.,12,Tappara Tampere Jr.,15
2003-04,19,4,29,9,0,Finland,39,Tappara Tampere,13
2003-04,19,1,2,1,0,WJC-A,7,Finland,2
2004-05,20,1,0,0,0,Fin-Jr.,1,Tappara Tampere Jr.,1
2004-05,20,8,24,17,0,Finland,54,Tappara Tampere,25
2005-06,21,9,55,35,0,Finland,56,Tappara Tampere,44
2006-07,22,12,50,35,0,Finland,51,Tappara Tampere,47
2006-07,22,2,2,5,2,WC-A,9,Finland,7
2007-08,23,18,32,50,17,AHL,66,Rockford IceHogs,68
2008-09,24,19,30,43,-6,AHL,81,2 Teams,62
2008-09,24,15,22,38,3,AHL,61,Rockford IceHogs,53
2008-09,24,4,8,5,-9,AHL,20,Iowa Chops,9
2009-10,25,7,24,15,0,KHL,54,Metallurg Magnitogorsk,22
2009-10,25,3,2,0,3,WC-A,7,Finland,3
2010-11,26,14,36,34,0,KHL,54,Metallurg Magnitogorsk,48
2011-12,27,15,34,22,0,KHL,53,Traktor Chelyabinsk,37
2011-12,27,0,4,2,2,WC-A,10,Finland,2
2012-13,28,12,51,19,0,KHL,44,Traktor Chelyabinsk,31
2012-13,28,8,8,8,6,WC-A,10,Finland,16
