pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Hull Olympiques,2,0,3,QMJHL,4,1979-80,17,1
0,Nova Scotia Voyageurs,0,0,0,AHL,2,1980-81,18,0
6,Sherbrooke Castors,26,0,32,QMJHL,19,1981-82,19,6
0,Sherbrooke Castors,8,0,11,M-Cup,5,1981-82,19,3
0,Nova Scotia Voyageurs,3,0,4,AHL,7,1982-83,20,1
0,Adirondack Red Wings,1,0,1,AHL,2,1990-91,28,0
2,HC Milano Saima,13,0,16,Italy,12,1991-92,29,3
4,Berliner SC Preussen,7,0,8,Germany,7,1992-93,30,1
8,Berliner SC Preussen,6,0,11,Germany,10,1993-94,31,5
14,BSC Preussen Berlin,7,0,12,Germany,12,1994-95,32,5
14,EHC Eisbaren Berlin,14,0,19,Germany,11,1995-96,33,5
0,Berlin Capitals,1,0,3,Germany,4,1996-97,34,2
0,EV Zug,1,0,1,Swiss,2,1996-97,34,0
2,Frankfurt Lions,5,0,5,Germany,7,1997-98,35,0
2,Frankfurt Lions,4,0,5,Germany,8,1998-99,36,1
10,Frankfurt Lions,3,0,4,Germany,5,1999-00,37,1
