power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,4,5,0,NHL,1961-62,20,2,NYR,,3,4,2,0,10,,,20.0,0
0,4,4,0,NHL,1966-67,25,2,NYR,,2,6,-2,0,15,,,13.3,0
0,6,5,0,NHL,1967-68,26,5,NYR,,0,4,3,0,18,,,0,5
0,4,1,0,NHL,1968-69,27,1,NYR,,0,2,0,0,9,,,11.1,1
3,6,9,0,NHL,1969-70,28,4,NYR,,5,0,-4,0,26,,,15.4,1
1,13,10,1,NHL,1970-71,29,4,NYR,,6,8,4,0,28,,,14.3,3
4,0,15,2,NHL,1971-72,30,7,NYR,,8,11,2,0,33,,,21.2,3
0,10,6,1,NHL,1972-73,31,5,NYR,,1,2,4,0,19,,,26.3,5
1,13,8,1,NHL,1973-74,32,3,NYR,,5,4,-4,0,36,,,8.3,2
0,3,4,0,NHL,1974-75,33,1,NYR,,3,2,3,0,13,,,7.7,1
