average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,7,1,0,NHL,21,3,4,-1,17,2,2,0,0,1990-91,BUF,4,3,[],23.5,,8
,48,6,0,NHL,22,14,75,-1,153,26,5,0,3,1991-92,BUF,31,17,"[{'link': '/awards/voting-1992.html#calder', 'name': 'Calder-6'}]",20.3,,63
,19,0,0,NHL,23,7,51,-8,92,10,2,0,0,1992-93,BUF,12,7,[],13.0,,44
,59,4,1,NHL,24,18,41,2,207,12,16,0,12,1993-94,BUF,29,30,[],14.0,,77
,37,7,0,NHL,25,3,27,-3,124,11,13,0,10,1994-95,BUF,24,13,[],19.4,,46
,25,1,0,NHL,26,6,18,0,92,4,8,0,7,1995-96,BUF,12,13,[],13.0,,23
,50,5,0,NHL,27,16,48,-6,182,20,8,0,6,1996-97,BUF,28,22,[],15.4,,73
,44,5,0,NHL,28,16,59,10,198,14,10,0,4,1997-98,BUF,24,20,[],12.1,,75
16:50,36,2,0,NHL,29,9,51,7,152,12,6,0,9,1998-99,LAK,18,18,[],11.8,825,49
16:25,43,4,1,NHL,30,15,57,2,162,17,1,0,9,1999-00,TOT,19,24,[],11.7,1034,63
14:56,32,3,0,NHL,30,13,45,6,112,11,1,0,7,1999-00,LAK,12,20,[],10.7,732,49
21:35,11,1,1,NHL,30,2,12,-4,50,6,0,0,2,1999-00,ATL,7,4,[],14.0,302,14
19:50,79,3,1,NHL,31,28,76,-2,225,19,14,0,17,2000-01,TOT,34,45,[],15.1,1508,76
20:18,71,2,1,NHL,31,25,64,-3,187,18,13,0,14,2000-01,ATL,32,39,[],17.1,1299,64
17:25,8,1,0,NHL,31,3,12,1,38,1,1,0,3,2000-01,BUF,2,6,[],5.3,209,12
14:30,18,3,0,NHL,32,7,20,3,82,2,3,0,6,2001-02,TOT,5,13,[],6.1,479,33
12:26,12,2,0,NHL,32,6,12,2,49,1,3,0,2,2001-02,DAL,4,8,[],8.2,249,20
17:42,6,1,0,NHL,32,1,8,1,33,1,0,0,4,2001-02,MTL,1,5,[],3.0,230,13
15:30,23,4,0,NHL,33,4,19,-7,118,7,4,0,8,2002-03,MTL,11,12,[],9.3,837,54
14:53,21,0,0,NHL,34,7,38,-13,107,4,5,0,5,2003-04,TOT,9,12,[],8.4,759,51
13:28,8,0,0,NHL,34,2,16,-4,41,3,0,0,3,2003-04,MTL,3,5,[],7.3,310,23
16:02,13,0,0,NHL,34,5,22,-9,66,1,5,0,2,2003-04,FLA,6,7,[],9.1,449,28
