bad_start,shutouts,awards,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,good_starts,age,good_start_precentages,saves,pim,goals,games_started,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,goalie_point_share,assists,ties,wins,games_played,minutes
0,0,[],0,1.00,0,29,NHL,1,22,1.000,28,0,0,1,0,1,.966,2007-08,OTT,0,0.4,0,0,1,1,60
7,1,[],0,2.77,-5.07,786,NHL,15,23,.500,709,0,0,30,107,77,.902,2008-09,OTT,8,4.1,0,3,16,31,1667
9,5,[],1,2.57,-3.65,1424,NHL,25,24,.532,1294,0,0,47,103,130,.909,2009-10,OTT,18,8.1,1,4,29,55,3038
15,3,[],0,3.34,-30.88,1551,NHL,17,25,.333,1385,0,0,51,123,166,.893,2010-11,TOT,27,5.6,0,9,15,55,2983
12,3,[],0,3.19,-22.08,1147,NHL,14,25,.359,1025,0,0,39,122,122,.894,2010-11,OTT,19,4.2,0,8,13,43,2293
3,0,[],0,3.83,-8.81,404,NHL,3,25,.250,360,0,0,12,125,44,.891,2010-11,COL,8,1.4,0,1,2,12,690
1,9,"[{'link': '/awards/voting-2012.html#AS', 'name': 'AS-5'}, {'link': '/awards/voting-2012.html#hart', 'name': 'Hart-15'}, {'link': '/awards/jennings.html#2012', 'name': None}, {'link': '/awards/voting-2012.html#vezina', 'name': 'Vezina-5'}]",0,0,26.04,972,NHL,28,26,.778,914,0,0,36,0,58,0,2011-12,STL,10,9.0,0,4,23,38,2235
6,3,[],0,2.28,-2.67,526,NHL,12,27,.600,477,0,0,20,106,49,.907,2012-13,STL,8,2.9,0,1,14,24,1292
2,4,[],2,1.96,5.68,681,NHL,15,28,.600,628,0,0,25,90,53,.922,2013-14,STL,6,4.8,2,2,18,31,1624
8,5,[],3,2.26,2.16,1150,NHL,27,29,.600,1054,0,0,45,98,96,.917,2014-15,STL,14,7.2,3,3,26,46,2546
6,4,"[{'link': '/awards/voting-2016.html#AS', 'name': 'AS-10'}, {'link': '/awards/voting-2016.html#vezina', 'name': 'Vezina-9'}]",0,2.07,16.76,1113,NHL,26,30,.684,1035,2,0,38,0,78,0,2015-16,STL,8,8.6,0,6,23,42,2261
4,2,[],0,2.55,-5.21,1338,NHL,26,31,.578,1217,4,0,45,104,121,.910,2016-17,CGY,18,7.3,0,3,26,49,2844
