age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
20,,9.1,1,0,0,NHL,5,0,1984-85,0,11,1,,0,0,,BOS,1
22,,0.0,0,0,-1,NHL,2,0,1986-87,0,1,0,,0,0,,BOS,0
25,,0.0,0,0,-2,NHL,3,0,1989-90,0,1,0,,0,0,,TOR,0
27,,11.8,2,5,2,NHL,15,0,1991-92,1,17,2,,0,4,,BOS,7
29,,8.7,1,1,-1,NHL,13,1,1993-94,0,23,2,,0,2,,BOS,3
30,,0.0,0,0,1,NHL,5,0,1994-95,0,2,0,,0,0,,BOS,0
31,,0.0,0,2,-3,NHL,5,0,1995-96,0,4,0,,0,2,,BOS,2
32,,10.0,1,0,-2,NHL,7,0,1996-97,0,10,1,,0,4,,DAL,1
33,,0.0,0,3,-2,NHL,5,0,1997-98,0,8,0,,0,2,,DAL,3
34,SC,6.7,2,8,4,NHL,0,0,1998-99,0,30,2,13:33,0,14,312,DAL,10
35,,4.2,1,3,4,NHL,17,0,1999-00,0,24,1,13:34,0,0,231,COL,4
36,SC,0.0,0,4,2,NHL,18,0,2000-01,0,8,0,9:08,0,6,164,COL,4
