league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,3,0,21,0,0,0,,DET,[],0,0,0,0,0,0,1963-64,,0,0,0,0
NHL,35,5,25,86,24,1,,LAK,[],10.5,8,15,4,9,0,1967-68,,1,32,0,14
NHL,56,1,26,94,27,1,,LAK,[],10.6,9,17,0,10,0,1968-69,,1,31,0,16
NHL,57,0,27,62,14,0,,TOT,[],6.5,3,10,0,4,0,1969-70,,1,24,1,9
NHL,19,0,27,10,5,0,,CBH,[],20.0,1,3,5,2,0,1969-70,,1,8,0,3
NHL,38,0,27,52,9,0,,OAK,[],3.8,2,7,-5,2,0,1969-70,,0,16,1,6
