age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
18,,50.0,1,3,-6,NHL,6,0,1987-88,0,8,4,,3,4,,BUF,7
19,,42.9,2,5,0,NHL,5,0,1988-89,0,7,3,,1,2,,BUF,8
20,,15.4,2,4,2,NHL,6,0,1989-90,1,13,2,,0,2,,BUF,6
21,,23.1,2,1,-1,NHL,6,0,1990-91,0,13,3,,1,6,,BUF,4
23,,13.3,5,7,2,NHL,11,0,1992-93,0,45,6,,1,0,,NYI,13
24,,0.0,0,1,-4,NHL,4,0,1993-94,0,7,0,,0,0,,NYI,1
26,,11.1,2,4,1,NHL,6,0,1995-96,0,18,2,,0,2,,MTL,6
27,,12.5,0,1,0,NHL,5,0,1996-97,0,8,1,,1,2,,STL,2
28,,14.8,2,4,-5,NHL,10,0,1997-98,0,27,4,,2,2,,STL,8
29,,9.5,4,9,3,NHL,13,0,1998-99,2,42,4,19:35,0,6,255,STL,13
30,,0.0,0,7,-2,NHL,7,0,1999-00,0,11,0,19:45,0,0,138,STL,7
31,,16.7,4,10,8,NHL,15,0,2000-01,0,30,5,19:07,1,2,287,STL,15
33,,0.0,0,1,1,NHL,5,0,2002-03,0,8,0,12:21,0,0,62,DAL,1
34,,11.1,1,3,-2,NHL,5,0,2003-04,0,9,1,15:53,0,2,79,DAL,4
36,,0.0,0,2,-3,NHL,5,0,2005-06,0,9,0,11:40,0,6,58,COL,2
