year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1984-85,15,49,26,52,0,QAAA,41,Montreal-Bourassa,101
1985-86,16,47,31,67,0,QMJHL,69,Granby Bisons,114
1985-86,16,2,2,4,0,Nat-Tm,11,Canada,6
1986-87,17,69,8,85,0,QMJHL,58,Granby Bisons,154
1986-87,17,3,2,0,0,WJC-A,6,Canada,3
