assists,year,games_played,points,goals,team,age,pim,plus_minus,league
18,1975-76,61,25,7,Kingston Canadians,18,62,0,OMJHL
21,1976-77,66,26,5,Windsor Spitfires,19,98,0,OMJHL
22,1977-78,54,29,7,Hershey Bears,20,17,0,AHL
18,1978-79,34,23,5,Hershey Bears,21,10,0,AHL
3,1981-82,6,4,1,United States,24,4,0,Can-Cup
39,1984-85,64,48,9,Binghamton Whalers,27,43,0,AHL
17,1985-86,34,23,6,Rochester Americans,28,12,0,AHL
1,1985-86,10,2,1,United States,28,2,0,WEC-A
26,1986-87,64,32,6,Rochester Americans,29,47,0,AHL
35,1987-88,68,47,12,Rochester Americans,30,52,0,AHL
35,1988-89,69,44,9,Rochester Americans,31,81,0,AHL
7,1989-90,41,14,7,Rochester Americans,32,34,0,AHL
