year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1974-75,16,20,18,27,0,ON-Jr.A,38,Weston Dodgers,47
1975-76,17,26,22,48,0,OMJHL,64,Sudbury Wolves,74
1976-77,18,36,24,60,0,OMJHL,65,Sudbury Wolves,96
1977-78,19,34,53,67,0,OMJHL,65,2 Teams,101
1977-78,19,7,16,16,0,OMJHL,21,Sudbury Wolves,23
1977-78,19,27,37,51,0,OMJHL,44,Windsor Spitfires,78
1978-79,20,44,39,65,0,IHL,73,Port Huron Flags,109
1979-80,21,6,4,14,0,AHL,16,Hershey Bears,20
1980-81,22,15,39,25,0,AHL,24,Hershey Bears,40
1981-82,23,31,44,61,0,AHL,56,Hershey Bears,92
1982-83,24,40,36,68,0,CHL,75,Birmingham South Stars,108
1984-85,26,29,22,44,0,AHL,52,St. Catharines Saints,73
1985-86,27,36,38,60,0,AHL,74,St. Catharines Saints,96
1986-87,28,28,32,50,0,AHL,70,Newmarket Saints,78
1987-88,29,25,48,59,0,AHL,79,Newmarket Saints,84
1988-89,30,22,38,31,0,AHL,52,Newmarket Saints,53
1989-90,31,13,18,22,0,AHL,36,Newmarket Saints,35
