assists,team,goals,year,games_played,points,pim,age,plus_minus,league
12,St. Michael\'s Buzzers,23,1945-46,8,35,29,18,0,High-ON
0,St. Michael\'s Majors,1,1945-46,2,1,0,18,0,OHA-Jr.
8,St. Michael\'s Majors,13,1946-47,22,21,21,19,0,OHA-Jr.
21,Toronto Marlboros,27,1947-48,35,48,26,20,0,OHA-Sr.
21,Toronto Marlboros,24,1948-49,38,45,24,21,0,OHA-Sr.
21,Pittsburgh Hornets,30,1949-50,64,51,14,22,0,AHL
17,Pittsburgh Hornets,24,1950-51,65,41,31,23,0,AHL
18,Pittsburgh Hornets,17,1951-52,49,35,56,24,0,AHL
19,Edmonton Flyers,22,1952-53,64,41,53,25,0,WHL
31,Edmonton Flyers,30,1953-54,66,61,29,26,0,WHL
16,Edmonton Flyers,21,1954-55,56,37,27,27,0,WHL
