age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
23,,0.0,0,1,0,NHL,2,0,1983-84,0,5,0,,0,0,,VAN,1
25,,0.0,0,1,-4,NHL,3,0,1985-86,0,1,0,,0,2,,VAN,1
28,,7.7,1,1,1,NHL,7,0,1988-89,0,13,1,,0,9,,VAN,2
30,,0.0,0,2,-3,NHL,6,0,1990-91,0,9,0,,0,6,,VAN,2
31,,16.7,1,2,3,NHL,11,0,1991-92,0,6,1,,0,11,,VAN,3
32,,0.0,0,3,3,NHL,12,0,1992-93,0,8,0,,0,8,,VAN,3
33,SC,22.2,2,0,-4,NHL,9,0,1993-94,0,9,2,,0,10,,NYR,2
34,,0.0,0,0,6,NHL,4,0,1994-95,0,1,0,,0,2,,STL,0
35,,20.0,0,0,-4,NHL,7,0,1995-96,0,5,1,,1,6,,NYR,1
36,,5.0,1,5,-2,NHL,15,0,1996-97,0,20,1,,0,8,,NYR,6
38,SC,0.0,0,0,0,NHL,4,0,1998-99,0,1,0,8:01,0,2,32,DAL,0
