assists,year,games_played,points,goals,team,age,pim,plus_minus,league
28,1990-91,42,49,21,Lac St-Louis Lions,16,42,0,QAAA
51,1991-92,49,74,23,Gloucester Rangers,17,59,0,ON-Jr.A
6,1992-93,23,9,3,Cornell Big Red,18,30,0,ECAC
13,1993-94,21,19,6,Cornell Big Red,19,32,0,ECAC
16,1994-95,26,20,4,Cornell Big Red,20,48,0,ECAC
14,1995-96,31,32,18,Cornell Big Red,21,60,0,ECAC
11,1996-97,42,23,12,Providence Bruins,22,10,0,AHL
2,1997-98,7,2,0,Providence Bruins,23,4,-3,AHL
46,1997-98,62,67,21,Charlotte Checkers,23,57,25,ECHL
3,1998-99,10,9,6,Bracknell Bees,24,14,0,BH-Cup
21,1998-99,42,33,12,Bracknell Bees,24,12,0,Britain
6,1999-00,10,8,2,Bracknell Bees,25,12,0,BH-Cup
28,1999-00,35,38,10,Bracknell Bees,25,42,0,Britain
3,2000-01,10,9,6,Nottingham Panthers,26,22,0,BH-Cup
34,2000-01,48,54,20,Nottingham Panthers,26,64,0,Britain
34,2001-02,48,52,18,Nottingham Panthers,27,78,0,Britain
