power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
1,3,2,0,NHL,1979-80,19,1,TOR,,1,18,-2,0,2,,,50.0,0
0,3,0,0,NHL,1980-81,20,0,TOR,,0,7,-5,0,3,,,0.0,0
0,3,1,0,NHL,1981-82,21,0,EDM,,1,4,-1,0,3,,,0.0,0
0,3,1,0,NHL,1982-83,22,0,WIN,,1,12,-4,0,6,,,0.0,0
0,3,1,0,NHL,1983-84,23,0,WIN,,1,5,-1,0,2,,,0.0,0
0,8,3,0,NHL,1984-85,24,2,WIN,,1,21,-3,1,19,,,10.5,1
0,3,1,0,NHL,1985-86,25,0,WIN,,1,6,-7,0,3,,,0.0,0
1,10,5,0,NHL,1986-87,26,2,WIN,,3,32,-2,0,14,,,14.3,1
0,5,4,0,NHL,1987-88,27,1,WIN,,3,9,3,0,13,,,7.7,1
0,2,0,0,NHL,1989-90,29,0,WIN,,0,2,0,0,0,,,0,0
0,7,2,0,NHL,1990-91,30,1,NJD,,1,16,-1,0,8,,,12.5,1
0,7,1,1,NHL,1991-92,31,1,NJD,,0,8,1,0,10,,,10.0,1
