average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,48,4,0,NHL,19,31,78,2,99,14,2,0,1,1979-80,TOR,16,32,[],16.2,,80
,33,4,0,NHL,20,15,178,-10,70,11,3,0,4,1980-81,TOR,14,19,[],20.0,,53
,33,1,0,NHL,21,21,187,-1,68,10,1,0,1,1981-82,TOT,11,22,[],16.2,,65
,28,1,0,NHL,21,18,150,-3,64,8,1,0,1,1981-82,TOR,9,19,[],14.1,,54
,5,0,0,NHL,21,3,37,2,4,2,0,0,0,1981-82,EDM,2,3,[],50.0,,11
,28,0,0,NHL,22,15,219,6,84,10,1,2,0,1982-83,TOT,11,17,[],13.1,,74
,20,0,0,NHL,22,10,183,3,59,8,0,2,0,1982-83,EDM,8,12,[],13.6,,62
,8,0,0,NHL,22,5,36,3,25,2,1,0,0,1982-83,WIN,3,5,[],12.0,,12
,74,3,0,NHL,23,33,234,-4,138,19,9,1,12,1983-84,WIN,28,46,[],20.3,,61
,76,4,2,NHL,24,32,180,-8,167,25,5,2,10,1984-85,WIN,32,44,[],19.2,,0
,69,2,2,NHL,25,30,241,-29,158,22,3,0,12,1985-86,WIN,27,42,[],17.1,,77
,41,2,1,NHL,26,19,152,-17,161,15,1,0,5,1986-87,WIN,17,24,[],10.6,,80
,48,3,1,NHL,27,13,229,-24,166,14,10,0,10,1987-88,WIN,25,23,"[{'link': '/awards/voting-1988.html#selke', 'name': 'Selke-31'}]",15.1,,0
,36,1,0,NHL,28,23,163,-17,113,7,3,1,2,1988-89,WIN,10,26,[],8.8,,70
,27,1,1,NHL,29,17,103,-11,87,6,3,0,0,1989-90,WIN,10,17,[],11.5,,66
,20,1,1,NHL,30,9,79,-1,91,10,0,0,0,1990-91,NJD,11,9,[],12.1,,78
,28,2,0,NHL,31,18,121,9,89,8,0,1,1,1991-92,NJD,8,20,[],9.0,,75
,16,1,1,NHL,32,7,101,-26,84,8,0,0,0,1992-93,OTT,9,7,[],10.7,,70
