assists,team,goals,year,games_played,points,pim,age,plus_minus,league
3,Flin Flon Bombers,0,1956-57,12,3,2,17,0,SJHL
19,Flin Flon Bombers,8,1957-58,38,27,20,18,0,SJHL
48,Flin Flon Bombers,36,1958-59,45,84,24,19,0,SJHL
29,Trois-Rivieres Lions,9,1959-60,64,38,16,20,0,EPHL
27,Kitchener-Waterloo Beavers,9,1960-61,56,36,14,21,0,EPHL
30,Vancouver Canucks,12,1961-62,61,42,4,22,0,WHL
14,Seattle Totems,10,1962-63,53,24,8,23,0,WHL
28,St. Paul Rangers,15,1963-64,72,43,14,24,0,CPHL
13,Providence Reds,4,1964-65,23,17,14,25,0,AHL
9,St. Paul Rangers,3,1964-65,24,12,4,25,0,CPHL
35,Minnesota Rangers,17,1965-66,60,52,10,26,0,CPHL
29,Omaha Knights,12,1966-67,58,41,20,27,0,CPHL
23,Omaha Knights,18,1967-68,65,41,0,28,0,CPHL
0,Omaha Knights,0,1968-69,1,0,0,29,0,CHL
18,Buffalo Bisons,5,1968-69,54,23,16,29,0,AHL
17,Waterloo Black Hawks,8,1971-72,35,25,32,32,0,USHL
