year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1975-76,16,0,0,0,0,QMJHL,1,Trois-Rivieres Draveurs,0
1976-77,17,53,0,79,0,QJHL,60,Cap-de-Madeleine Barons,132
1976-77,17,0,0,2,0,QMJHL,12,Trois-Rivieres Draveurs,2
1977-78,18,35,77,43,0,QMJHL,72,Trois-Rivieres Draveurs,78
1978-79,19,66,55,76,0,QMJHL,72,Trois-Rivieres Draveurs,142
1979-80,20,25,58,24,0,AHL,39,Rochester Americans,49
1980-81,21,21,101,29,0,AHL,69,Rochester Americans,50
1981-82,22,37,45,37,0,AHL,56,Rochester Americans,74
1982-83,23,29,72,52,0,AHL,80,Rochester Americans,81
1983-84,24,41,154,44,0,AHL,78,Rochester Americans,85
1984-85,25,42,0,30,0,Swiss,36,EHC Kloten,72
1985-86,26,46,0,32,0,Swiss,36,EHC Kloten,78
1986-87,27,24,0,17,0,Swiss,36,EHC Kloten,41
1987-88,28,28,0,16,0,Swiss,36,EHC Kloten,44
1988-89,29,36,0,31,0,Swiss-2,36,HC Martigny,67
1989-90,30,27,0,39,0,Swiss-2,36,HC Sierre,66
1990-91,31,19,0,24,0,Swiss,29,HC Sierre,43
