goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
0.8,0,NHL,7,EDM,313,20,3,0,1,20,0,0,0,0,3,1,0,0,0,0,1980-81,0,3.83,0,[],0
0.7,0,NHL,8,EDM,399,21,5,0,1,32,0,0,0,0,3,1,0,0,0,0,1981-82,0,4.81,2,[],0
8.6,0,NHL,50,EDM,2833,22,8,0,4,167,0,0,7,1,33,4,0,0,0,0,1982-83,0,3.54,16,"[{'link': '/awards/voting-1983.html#AS', 'name': 'AS-5'}, {'link': '/awards/voting-1983.html#vezina', 'name': 'Vezina-5'}]",0
7.0,0,NHL,38,EDM,2212,23,8,93,1,139,0,10.16,1,1,27,1,0,0,0,.882,1983-84,1179,3.77,4,[],1040
7.2,0,NHL,39,EDM,2019,24,9,84,0,111,0,20.70,3,1,22,0,0,0,0,.894,1984-85,1050,3.30,8,"[{'link': '/awards/voting-1985.html#AS', 'name': 'AS-6'}, {'link': '/awards/voting-1985.html#vezina', 'name': 'Vezina-7'}]",939
9.4,0,NHL,47,EDM,2664,25,9,88,2,164,0,22.07,7,1,27,2,0,0,0,.889,1985-86,1480,3.69,8,"[{'link': '/awards/voting-1986.html#AS', 'name': 'AS-5'}, {'link': '/awards/voting-1986.html#vezina', 'name': 'Vezina-8'}]",1316
6.8,0,NHL,46,EDM,2461,26,11,99,2,144,0,2.11,3,0,28,2,0,0,0,.882,1986-87,1218,3.51,8,"[{'link': '/awards/voting-1987.html#AS', 'name': 'AS-8'}, {'link': '/awards/voting-1987.html#vezina', 'name': 'Vezina-8'}]",1074
1.3,0,NHL,6,BOS,360,27,2,0,0,17,0,0,0,1,4,0,0,0,0,.906,1987-88,181,2.83,0,[],164
5.6,0,NHL,41,BOS,2482,28,14,102,1,133,0,-2.88,8,1,18,1,0,0,0,.877,1988-89,1079,3.22,6,[],946
7.3,0,NHL,46,BOS,2536,29,10,90,3,122,0,14.10,7,3,24,3,0,0,0,.893,1989-90,1145,2.89,18,"[{'link': '/awards/voting-1990.html#AS', 'name': 'AS-3'}, {'link': '/awards/jennings.html#1990', 'name': None}, {'link': '/awards/voting-1990.html#vezina', 'name': 'Vezina-3'}]",1023
8.3,0,NHL,51,BOS,2844,30,13,91,2,136,0,12.97,9,4,25,2,0,0,0,.896,1990-91,1307,2.87,20,"[{'link': '/awards/voting-1991.html#AS', 'name': 'AS-3'}, {'link': '/awards/voting-1991.html#vezina', 'name': 'Vezina-5'}]",1171
9.0,0,NHL,62,BOS,3640,31,22,101,3,196,0,-2.85,9,1,28,3,0,0,0,.887,1991-92,1727,3.23,52,[],1531
6.2,0,NHL,55,BOS,3194,32,14,108,1,168,0,-11.83,3,3,37,1,0,0,0,.876,1992-93,1357,3.16,14,"[{'link': '/awards/voting-1993.html#AS', 'name': 'AS-5'}, {'link': '/awards/voting-1993.html#vezina', 'name': 'Vezina-5'}]",1189
8.5,0,NHL,55,DAL,3121,33,20,101,1,170,0,-1.70,7,2,24,1,0,0,0,.894,1993-94,1604,3.27,16,[],1434
5.9,0,NHL,31,DAL,1770,34,12,86,1,72,0,12.11,7,2,10,1,0,0,0,.915,1994-95,846,2.44,14,[],774
6.1,0,NHL,41,DAL,2228,35,19,99,0,111,0,1.35,7,1,13,0,0,0,0,.900,1995-96,1106,2.99,28,[],995
7.0,0,NHL,48,DAL,2738,36,13,92,1,98,0,8.80,5,3,28,1,0,0,0,.913,1996-97,1121,2.15,12,"[{'link': '/awards/voting-1997.html#AS', 'name': 'AS-4'}, {'link': '/awards/voting-1997.html#vezina', 'name': 'Vezina-7'}]",1023
6.0,0,NHL,42,MTL,2337,37,17,101,0,97,0,-0.99,5,3,18,0,0,0,0,.905,1997-98,1024,2.49,4,[],927
