won,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
,0,NHL,9,EDM,526,20,4,0,0,32,0,0,0,0,5,0,0,0,0,0,1980-81,0,3.65,0,0
,0,NHL,16,EDM,949,22,5,0,1,48,0,0,0,0,11,1,0,0,0,0,1982-83,0,3.03,2,0
SC,0,NHL,7,EDM,263,23,0,106,0,12,0,-0.71,0,0,4,0,0,0,0,.891,1983-84,110,2.74,2,98
SC,0,NHL,2,EDM,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1984-85,3,0.00,0,3
,0,NHL,1,EDM,60,25,0,0,0,1,0,0,0,0,1,0,0,0,0,.963,1985-86,27,1.00,0,26
SC,0,NHL,2,EDM,120,26,0,0,0,8,0,0,0,0,2,0,0,0,0,.784,1986-87,37,4.00,0,29
,0,NHL,7,BOS,354,27,4,115,0,25,0,-3.28,0,0,1,0,0,0,0,.849,1987-88,166,4.24,0,141
,0,NHL,6,BOS,359,28,2,97,1,14,0,0.49,0,0,4,1,0,0,0,.897,1988-89,136,2.34,0,122
,0,NHL,20,BOS,1195,29,0,82,0,44,0,9.60,0,0,13,0,0,0,0,.909,1989-90,486,0,6,442
,0,NHL,19,BOS,1133,30,0,101,0,60,0,-0.62,0,0,10,0,0,0,0,.895,1990-91,569,3.18,4,509
,0,NHL,15,BOS,866,31,7,115,1,46,0,-6.09,0,1,8,1,0,0,0,.881,1991-92,385,3.19,17,339
,0,NHL,3,BOS,161,32,3,0,0,14,0,0,0,0,0,0,0,0,0,.791,1992-93,67,5.22,0,53
,0,NHL,4,DAL,246,33,3,108,0,12,0,-0.90,0,0,1,0,0,0,0,.901,1993-94,121,2.93,0,109
,0,NHL,5,DAL,277,34,4,88,0,16,0,2.17,0,0,1,0,0,0,0,.905,1994-95,169,3.47,2,153
,0,NHL,7,DAL,449,36,4,121,1,21,0,-3.65,0,0,3,1,0,0,0,.902,1996-97,214,2.81,0,193
,0,NHL,9,MTL,474,37,5,139,0,24,0,-6.68,0,1,4,0,0,0,0,.882,1997-98,204,3.04,0,180
