age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
20,,8.3,0,0,-11,NHL,12,0,1999-00,0,12,1,198,1,6,,SJS,1
21,,25.0,1,0,0,NHL,5,0,2000-01,0,4,1,102,0,0,,SJS,1
22,,0.0,0,3,1,NHL,12,0,2001-02,0,12,0,236,0,8,,SJS,3
24,,3.6,1,5,-4,NHL,17,0,2003-04,0,28,1,398,0,13,,SJS,6
27,,0.0,0,1,-3,NHL,6,0,2006-07,0,7,0,152,0,6,,CGY,1
28,SC,4.0,1,6,15,NHL,21,0,2007-08,1,25,1,455,0,14,52,DET,7
29,,8.8,2,6,5,NHL,23,0,2008-09,0,34,3,555,1,12,79,DET,9
30,,8.7,2,4,6,NHL,12,0,2009-10,0,23,2,265,0,8,40,DET,6
31,,0.0,0,2,6,NHL,11,0,2010-11,0,10,0,237,0,8,26,DET,2
32,,0.0,0,1,-5,NHL,5,0,2011-12,0,4,0,97,0,0,6,DET,1
33,,10.0,1,2,3,NHL,11,0,2012-13,0,10,1,211,0,2,23,SJS,3
34,,0.0,0,0,1,NHL,7,0,2013-14,0,4,0,139,0,0,12,SJS,0
