giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
0,NHL,67,2,22,0,0,76,27,0,9,934,STL,0,0,[],7.9,5,21,-23,6,0,0,2005-06,0,13:56,1,30,0,12
0,NHL,81,0,23,0,0,104,36,0,1,1125,STL,0,0,[],7.7,8,28,3,8,0,0,2006-07,0,13:53,0,55,2,25
14,NHL,81,2,24,334,174,110,22,62,0,1128,STL,35,52.3,[],8.2,9,13,-17,9,366,0,2007-08,41,13:55,0,26,0,13
26,NHL,82,3,25,695,237,137,26,38,0,1361,STL,44,52.1,"[{'link': '/awards/voting-2009.html#selke', 'name': 'Selke-28'}]",8.8,9,14,-10,12,756,3,2008-09,57,16:36,0,29,0,14
28,NHL,82,3,26,711,180,109,29,66,0,1372,STL,39,49.6,"[{'link': '/awards/voting-2010.html#selke', 'name': 'Selke-16'}]",10.1,11,18,0,11,701,0,2009-10,52,16:44,0,22,2,16
21,NHL,80,1,27,557,216,127,20,75,0,1335,TOT,37,51.6,[],5.5,6,13,-21,7,595,0,2010-11,63,16:42,1,30,1,12
11,NHL,56,1,27,404,145,89,16,52,0,960,STL,20,51.4,[],6.7,5,10,-13,6,427,0,2010-11,38,17:08,1,18,0,10
10,NHL,24,0,27,153,71,38,4,23,0,376,COL,17,52.3,[],2.6,1,3,-8,1,168,0,2010-11,25,15:39,0,12,1,2
16,NHL,80,1,28,425,169,95,17,72,0,1100,COL,34,51.3,"[{'link': '/awards/voting-2012.html#selke', 'name': 'Selke-32'}]",10.5,9,7,-8,10,448,1,2011-12,54,13:45,0,31,0,7
17,NHL,0,0,29,190,79,48,17,76,0,732,TOR,30,51.7,"[{'link': '/awards/voting-2013.html#selke', 'name': 'Selke-6'}]",16.7,8,9,0,8,203,0,2012-13,39,15:15,0,11,0,9
24,NHL,81,1,30,584,136,67,10,141,0,1196,TOR,36,53.7,[],6.0,4,6,-8,4,676,0,2013-14,57,14:46,0,32,1,5
14,NHL,82,2,31,441,121,68,21,79,0,1113,CAR,42,55.5,[],10.3,7,14,-7,7,549,0,2014-15,53,13:35,0,17,0,14
21,NHL,77,0,32,303,107,64,11,79,0,893,CAR,32,55.3,[],4.7,2,8,-17,3,375,1,2015-16,31,11:36,0,24,0,8
15,NHL,65,1,33,272,87,37,8,49,0,740,CAR,29,48.2,[],13.5,4,3,-8,5,253,1,2016-17,40,11:23,0,18,0,3
