bad_start,shutouts,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,games_started,age,good_start_precentages,saves,pim,goals,good_starts,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,won,assists,ties,wins,games_played,minutes
0,0,0,4.00,0,0,NHL,0,23,0,0,10,0,0,0,4,0,1973-74,ATF,1,,0,0,0,1,60
0,0,0,1.50,0,0,NHL,0,25,0,0,0,0,0,0,3,0,1975-76,ATF,2,,0,0,0,2,120
0,0,0,5.00,0,0,NHL,0,26,0,0,0,0,0,0,5,0,1976-77,ATF,1,,0,0,0,1,60
0,0,0,3.50,0,0,NHL,0,27,0,0,0,0,0,0,7,0,1977-78,ATF,2,,0,0,0,2,120
0,0,0,5.40,0,0,NHL,0,28,0,0,4,0,0,0,9,0,1978-79,ATF,2,,0,0,0,2,100
0,0,0,3.49,0,0,NHL,0,29,0,0,2,0,0,0,14,0,1979-80,ATF,3,,0,0,1,4,241
0,0,0,3.99,0,0,NHL,0,30,0,0,14,0,0,0,19,0,1980-81,QUE,3,,0,0,2,5,286
0,0,0,3.37,0,0,NHL,0,31,0,0,4,0,0,0,38,0,1981-82,QUE,0,,0,0,4,11,677
0,0,1,2.73,0,0,NHL,0,32,0,0,14,0,0,0,11,0,1982-83,QUE,3,,1,0,1,4,242
0,0,0,2.76,-2.00,224,NHL,0,33,0,199,2,0,0,109,25,.888,1983-84,QUE,4,,0,0,5,9,543
0,0,0,7.00,0,24,NHL,0,34,0,17,4,0,0,0,7,.708,1984-85,QUE,1,,0,0,0,1,60
0,0,0,7.50,0,22,NHL,0,35,0,17,2,0,0,0,5,.773,1985-86,WIN,1,,0,0,0,1,40
