age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
20,,7.1,1,1,6,NHL,10,0,1979-80,0,14,1,,0,28,,BOS,2
21,,0.0,0,1,1,NHL,3,0,1980-81,0,4,0,,0,2,,BOS,1
22,,0.0,0,0,1,NHL,2,0,1981-82,0,1,0,,0,2,,BOS,0
23,,0.0,0,0,1,NHL,3,0,1982-83,0,1,0,,0,4,,PHI,0
24,,0.0,0,0,-1,NHL,1,0,1983-84,0,7,0,,0,4,,PHI,0
25,,11.8,2,1,5,NHL,11,0,1984-85,0,17,2,,0,15,,PHI,3
26,,14.3,2,0,1,NHL,5,0,1985-86,1,14,2,,0,2,,PHI,2
27,,7.0,2,5,9,NHL,0,0,1986-87,1,43,3,,1,30,,PHI,8
28,,20.0,0,3,6,NHL,9,0,1987-88,0,10,2,,2,22,,CGY,5
29,SC,0.0,0,3,4,NHL,0,0,1988-89,0,30,0,,0,30,,CGY,3
30,,0.0,0,2,0,NHL,6,0,1989-90,0,1,0,,0,8,,CGY,2
31,,14.3,1,1,3,NHL,7,0,1990-91,0,7,1,,0,21,,DET,2
32,,0.0,0,1,-4,NHL,11,0,1991-92,0,8,0,,0,8,,DET,1
