giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
0,NHL,62,0,27,0,0,59,19,0,5,1094,NYI,0,0,[],5.1,3,16,-12,3,0,0,2001-02,0,17:39,0,38,1,10
0,NHL,61,0,28,0,0,115,41,0,22,1458,PIT,0,0,[],6.1,4,34,-11,7,0,0,2002-03,0,23:54,3,50,0,12
0,NHL,80,0,29,0,0,158,52,0,26,1924,PIT,0,0,"[{'link': '/awards/voting-2004.html#AS', 'name': 'AS-17'}, {'link': '/awards/voting-2004.html#norris', 'name': 'Norris-17'}]",10.1,4,36,-37,16,0,0,2003-04,0,24:03,12,38,0,10
0,NHL,55,0,31,0,0,60,14,0,3,931,TOT,0,0,[],10.0,2,8,-15,6,0,0,2005-06,0,16:56,4,76,0,5
0,NHL,33,0,31,0,0,40,10,0,3,558,PIT,0,0,[],12.5,1,5,-10,5,0,0,2005-06,0,16:54,4,52,0,2
0,NHL,22,0,31,0,0,20,4,0,0,373,EDM,0,0,[],5.0,1,3,-5,1,0,0,2005-06,0,16:58,0,24,0,3
24,NHL,48,0,33,0,117,44,14,22,5,930,TOT,7,0,[],6.8,2,11,-11,3,0,0,2007-08,71,19:23,1,52,0,6
19,NHL,29,0,33,0,60,22,5,12,0,568,EDM,5,0,[],4.5,1,4,-6,1,0,0,2007-08,54,19:35,0,40,0,4
5,NHL,19,0,33,0,57,22,9,10,5,362,CBJ,2,0,[],9.1,1,7,-5,2,0,0,2007-08,17,19:03,1,12,0,2
