year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1975-76,18,0,0,2,0,ECAC,1,Boston University Terriers,2
1976-77,19,1,90,23,0,ECAC,31,Boston University Terriers,24
1977-78,20,8,61,47,0,ECAC,31,Boston University Terriers,55
1978-79,21,6,72,16,0,ECAC,29,Boston University Terriers,22
1978-79,21,0,12,1,0,WEC-A,8,United States,1
1979-80,22,7,85,30,0,Nat-Tm,55,United States,37
1979-80,22,0,2,1,0,Olympics,4,United States,1
1980-81,23,9,167,25,0,AHL,78,New Brunswick Hawks,34
1981-82,24,15,130,33,0,AHL,79,New Brunswick Hawks,48
1982-83,25,2,25,24,0,AHL,35,Springfield Indians,26
1988-89,31,0,14,2,0,WEC-A,10,United States,2
