goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
0.4,1,NHL,5,WSH,220,20,1,0,0,11,3,0,0,0,2,0,.333,0,1,.892,2008-09,102,3.00,0,[],91
2.9,4,NHL,17,WSH,872,21,4,97,0,40,16,1.17,0,0,9,0,.625,0,10,.914,2009-10,464,2.75,0,[],424
7.8,4,NHL,48,WSH,2689,22,12,98,0,110,44,1.77,4,4,27,0,.477,0,21,.914,2010-11,1283,2.45,0,"[{'link': '/awards/voting-2011.html#calder', 'name': 'Calder-14'}]",1173
4.7,4,NHL,38,WSH,2020,23,13,113,1,95,30,-10.61,5,3,13,1,.500,0,15,.903,2011-12,976,2.82,2,[],881
2.2,2,NHL,13,WSH,723,24,5,102,0,33,12,-0.68,2,0,4,0,.583,0,7,.910,2012-13,367,2.74,0,[],334
3.6,2,NHL,15,TOT,884,25,8,92,1,41,13,3.55,2,0,4,1,.692,0,9,.921,2013-14,517,2.78,0,[],476
2.5,2,NHL,13,WSH,767,25,6,100,1,36,11,0.10,2,0,4,1,.636,0,7,.914,2013-14,419,2.82,0,[],383
1.0,0,NHL,2,BUF,117,25,2,0,0,5,2,0,0,0,0,0,1.000,0,2,.949,2013-14,98,2.56,0,[],93
6.3,4,NHL,32,TOT,1850,26,20,101,0,92,32,-0.93,4,0,7,0,.500,0,16,.914,2014-15,1067,2.98,0,[],975
6.1,3,NHL,27,BUF,1544,26,17,96,0,77,27,3.32,3,0,6,0,.556,0,15,.918,2014-15,941,2.99,0,[],864
0.2,1,NHL,5,NYI,306,26,3,0,0,15,5,0,1,0,1,0,.200,0,1,.881,2014-15,126,2.94,0,[],111
6.4,3,NHL,32,PHI,1825,27,8,89,1,69,29,8.31,4,3,18,1,.586,0,17,.924,2015-16,908,2.27,2,[],839
1.9,4,NHL,28,PHI,1364,28,11,126,0,64,24,-13.29,1,0,11,0,.417,0,10,.891,2016-17,586,2.82,2,[],522
