shotsPercentage,faceoff_loses,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,giveaways,total_shots,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,takeaways,faceoff_percentage,age,game_winning_goals,league,shorthanded_goals,blocks,average_ice_time,hits,games_played,faceoff_wins,points,awards,power_play_goals
0.0,0,2000-01,38,0,80,0,0,0,6,0,0,-3,0,ATL,0,0,0,20,0,NHL,0,0,7:18,0,11,0,0,[],0
12.5,0,2001-02,141,1,207,0,0,0,8,0,1,-5,1,TOT,1,0,0,21,0,NHL,0,0,6:05,0,34,0,2,[],0
12.5,0,2001-02,127,1,200,0,0,0,8,0,1,-5,1,ATL,1,0,0,21,0,NHL,0,0,6:03,0,33,0,2,[],0
0,0,2001-02,14,0,7,0,0,0,0,0,0,0,0,PHX,0,0,0,21,0,NHL,0,0,7:18,0,1,0,0,[],0
0.0,0,2002-03,97,0,149,0,0,0,7,0,0,-2,0,TOT,0,0,0,22,0,NHL,0,0,5:19,0,28,0,0,[],0
0.0,0,2002-03,82,0,119,0,0,0,5,0,0,-1,0,PHX,0,0,0,22,0,NHL,0,0,4:47,0,25,0,0,[],0
0.0,0,2002-03,15,0,29,0,0,0,2,0,0,-1,0,FLA,0,0,0,22,0,NHL,0,0,9:45,0,3,0,0,[],0
11.1,0,2003-04,158,1,386,0,0,0,27,0,3,-10,1,FLA,3,0,0,23,1,NHL,0,0,6:46,0,57,0,4,[],0
13.5,0,2005-06,163,5,455,0,0,0,52,1,7,9,6,NSH,7,0,0,25,1,NHL,0,0,6:09,0,74,0,13,[],0
4.5,0,2006-07,90,3,255,0,0,0,22,0,1,-2,3,NSH,1,0,0,26,0,NHL,0,0,4:48,0,53,0,4,[],0
5.6,0,2007-08,60,2,232,0,2,29,18,0,1,-1,2,NSH,1,4,0,27,1,NHL,0,3,5:09,64,45,0,3,[],0
15.4,0,2008-09,109,1,404,0,6,41,26,0,4,1,1,VAN,4,11,100.0,28,0,NHL,0,8,5:32,110,73,1,5,[],0
4.8,1,2009-10,142,1,338,0,7,35,21,0,1,-7,1,VAN,1,7,0.0,29,0,NHL,0,4,6:02,108,56,0,2,[],0
3.1,0,2010-11,76,4,324,0,6,60,32,0,1,-1,4,FLA,1,5,0,30,0,NHL,0,4,5:04,116,64,0,5,[],0
3.7,1,2011-12,64,2,187,0,5,37,27,0,1,-3,2,EDM,1,4,0.0,31,0,NHL,0,2,4:21,67,43,0,3,[],0
0,0,2012-13,2,0,8,0,0,0,0,0,0,-1,0,EDM,0,0,0,32,0,NHL,0,0,2:02,6,4,0,0,[],0
