even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,0,NSH,0,0,26,0,,NHL,0,0,7,2006-07,2,0,,0,0,0
0,0,NSH,0,2,27,0,1,NHL,0,1,18,2007-08,5,0.0,,0,0,0
1,0,VAN,1,14,28,0,5,NHL,0,4,53,2008-09,10,25.0,,0,1,1
