won,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
,0,NHL,5,MTL,300,22,3,0,0,11,0,0,0,0,2,0,0,0,0,0,1981-82,0,0,2,0
,0,NHL,3,MTL,152,23,3,0,0,7,0,0,0,0,0,0,0,0,0,0,1982-83,0,2.76,0,0
,0,NHL,1,MTL,32,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1983-84,12,0.00,0,12
,0,NHL,2,STL,120,25,2,0,0,7,0,0,0,0,0,0,0,0,0,.875,1984-85,56,3.50,0,49
,0,NHL,10,STL,569,26,6,115,0,37,0,-4.81,0,0,4,0,0,0,0,.879,1985-86,307,3.90,0,270
,0,NHL,2,STL,120,27,1,0,0,5,0,0,0,0,1,0,0,0,0,.907,1986-87,54,2.50,0,49
,0,NHL,1,CGY,33,28,1,0,0,2,0,0,0,0,0,0,0,0,0,.750,1987-88,8,3.64,0,6
SC,0,NHL,1,CGY,20,29,1,0,0,2,0,0,0,0,0,0,0,0,0,.800,1988-89,10,6.00,0,8
,0,NHL,1,CGY,49,30,1,0,0,9,0,0,0,0,0,0,0,0,0,.609,1989-90,23,11.02,0,14
,0,NHL,1,CGY,2,31,0,0,0,1,0,0,0,0,0,0,0,0,0,.500,1990-91,2,30.00,0,1
