bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
0,OMJHL,12,St. Catharines Fincups,647,17,0,0,0,36,0,0,0,0,0,0,0,0,0,0,1976-77,0,3.34,0,0
0,OMJHL,25,Hamilton Fincups,1495,18,0,0,0,74,0,0,0,2,0,0,0,0,0,0,1977-78,0,2.97,0,0
0,OMJHL,24,Brantford Alexanders,1444,19,0,0,0,128,0,0,0,0,0,0,0,0,0,0,1978-79,0,5.32,0,0
0,AHL,40,Nova Scotia Voyageurs,2305,20,16,0,0,125,0,0,2,2,19,0,0,0,0,0,1979-80,0,3.25,0,0
0,AHL,43,Nova Scotia Voyageurs,2372,21,19,0,0,155,0,0,3,0,17,0,0,0,0,0,1980-81,0,3.92,0,0
0,WEC-A,10,Canada,600,23,4,0,0,30,0,0,0,1,6,0,0,0,0,0,1982-83,0,3.00,0,0
0,WEC-A,2,Canada,120,25,1,0,0,11,0,0,0,0,1,0,0,0,0,0,1984-85,0,5.50,0,0
0,Fr-Tour,3,Calgary Flames,92,30,1,0,0,5,0,0,0,0,1,0,0,0,0,0,1989-90,0,3.26,0,0
0,AHL,2,St. John\'s Maple Leafs,112,33,1,0,0,8,0,0,0,0,0,0,0,0,0,0,1992-93,0,4.29,0,0
