age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
22,SC,16.7,1,0,2,NHL,14,1,1969-70,0,12,2,,0,11,,BOS,2
23,,0.0,0,0,-1,NHL,4,0,1970-71,0,4,0,,0,0,,BOS,0
24,SC,25.0,2,0,4,NHL,14,1,1971-72,1,12,3,,0,6,,BOS,3
25,,9.1,1,1,-1,NHL,5,0,1972-73,0,11,1,,0,0,,BOS,2
26,,13.3,4,2,1,NHL,16,0,1973-74,1,30,4,,0,8,,BOS,6
27,,33.3,1,0,2,NHL,3,0,1974-75,0,3,1,,0,0,,BOS,1
28,,16.7,3,2,0,NHL,12,0,1975-76,0,24,4,,1,8,,BOS,6
29,,13.2,4,6,9,NHL,0,0,1976-77,0,38,5,,0,10,,BOS,11
30,,16.1,4,4,10,NHL,0,0,1977-78,1,31,5,,1,8,,BOS,9
31,,18.5,5,3,3,NHL,11,0,1978-79,0,27,5,,0,10,,BOS,8
32,,12.5,2,3,6,NHL,10,0,1979-80,1,16,2,,0,4,,BOS,5
33,,28.6,2,2,2,NHL,3,0,1980-81,0,7,2,,0,6,,BOS,4
34,,0.0,0,4,0,NHL,11,0,1981-82,0,14,0,,0,10,,BOS,4
