year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1977-78,17,9,31,37,0,QMJHL,72,Trois-Rivieres Draveurs,46
1978-79,18,17,80,57,0,QMJHL,72,Trois-Rivieres Draveurs,74
1979-80,19,13,90,64,0,QMJHL,72,2 Teams,77
1979-80,19,5,22,25,0,QMJHL,20,Trois-Rivieres Draveurs,30
1979-80,19,8,68,39,0,QMJHL,52,Quebec Remparts,47
1980-81,20,2,14,6,0,QMJHL,9,Quebec Remparts,8
1986-87,26,0,0,0,0,RV-87,1,NHL All-Stars,0
1987-88,27,1,8,2,0,Can-Cup,9,Canada,3
1989-90,29,3,4,2,0,IHL,7,Flint Spirits,5
1992-93,32,4,21,2,0,Germany,17,EHC Eisbaren Berlin,6
1993-94,33,5,43,7,0,IHL,65,Atlanta Knights,12
1994-95,34,4,46,13,0,IHL,77,Denver Grizzlies,17
1995-96,35,3,45,12,0,IHL,77,San Francisco Spiders,15
1996-97,36,7,28,14,0,IHL,77,Kansas City Blades,21
1997-98,37,1,48,3,7,IHL,52,Kansas City Blades,4
