assists,team,goals,year,games_played,points,pim,age,plus_minus,league
1,Kamloops Blazers,0,1991-92,6,1,0,16,0,WHL
0,Kamloops Blazers,0,1991-92,2,0,0,16,0,M-Cup
6,Kamloops Blazers,2,1992-93,13,8,4,17,0,WHL
5,Kamloops Blazers,9,1993-94,19,14,23,18,0,WHL
1,Kamloops Blazers,2,1993-94,4,3,17,18,0,M-Cup
8,Kamloops Blazers,7,1994-95,17,15,12,19,0,WHL
5,Kamloops Blazers,2,1994-95,4,7,6,19,0,M-Cup
1,Indianapolis Ice,1,1995-96,5,2,27,20,0,IHL
0,Indianapolis Ice,0,1996-97,4,0,4,21,0,IHL
3,Indianapolis Ice,0,1997-98,5,3,10,22,0,IHL
0,Lowell Lock Monsters,0,1998-99,2,0,0,23,0,AHL
1,Springfield Falcons,0,1999-00,4,1,0,24,0,AHL
