giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
1,NHL,9,1,19,0,27,15,5,5,0,148,NYI,4,0,[],13.3,1,3,3,2,0,0,2007-08,3,16:28,1,2,1,2
30,NHL,65,3,20,10,314,165,39,64,4,1171,NYI,76,33.3,"[{'link': '/awards/voting-2009.html#calder', 'name': 'Calder-14'}]",10.9,9,21,-6,18,5,0,2008-09,30,18:01,9,36,1,16
65,NHL,80,4,21,36,460,249,52,62,18,1643,NYI,78,47.8,[],7.6,15,33,-22,19,33,0,2009-10,44,20:32,4,34,1,14
22,NHL,38,2,22,51,163,72,20,31,5,630,NYI,26,41.4,[],6.9,5,15,3,5,36,0,2010-11,16,16:35,0,40,0,10
30,NHL,79,2,23,74,279,152,45,51,3,1348,NYI,62,47.9,[],15.8,21,21,-15,24,68,0,2011-12,33,17:04,3,46,0,18
35,NHL,0,0,24,82,175,101,24,48,3,814,NYI,35,55.9,[],4.0,4,20,-2,4,104,0,2012-13,21,16:57,0,38,0,17
39,NHL,71,4,25,107,381,195,69,43,10,1451,NYI,44,47.5,"[{'link': '/awards/voting-2014.html#AS', 'name': 'AS-11'}]",13.8,22,42,-9,27,97,0,2013-14,35,20:26,5,51,0,32
45,NHL,60,2,26,81,349,195,51,53,12,1173,NYI,30,49.7,"[{'link': '/awards/voting-2015.html#byng', 'name': 'Byng-48'}]",9.2,12,33,-8,18,80,0,2014-15,23,19:33,6,12,0,21
54,NHL,79,4,27,40,376,202,64,90,16,1438,NYI,42,36.5,[],10.9,15,42,-4,22,23,0,2015-16,39,18:12,7,51,0,26
36,NHL,65,2,28,45,284,156,45,53,16,1233,BUF,26,54.5,[],12.2,12,26,-7,19,54,0,2016-17,25,18:58,7,24,0,10
