shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,goalie_point_share,pim,awards,shutouts,points,bad_start,team
0,0,2,0,290,5,0,1962-63,0,2,2.48,NHL,0,12,0,0,1,0,0,24,1.0,0,[],0,0,0,CBH
0,0,1,0,340,6,0,1963-64,0,2,3.35,NHL,0,19,0,0,3,0,0,25,0.6,0,[],0,0,0,CBH
0,0,3,0,1760,30,1,1964-65,0,16,2.52,NHL,0,74,0,0,11,0,0,26,5.8,0,"[{'link': '/awards/voting-1965.html#calder', 'name': 'Calder-3'}]",3,1,0,CBH
0,0,7,0,2536,44,0,1966-67,0,22,2.46,NHL,0,104,0,0,12,0,0,28,9.0,0,"[{'link': '/awards/voting-1967.html#hart', 'name': 'Hart-10'}, {'link': '/awards/vezina.html#1967', 'name': None}]",4,0,0,CBH
0,0,11,0,2838,50,0,1967-68,0,23,2.71,NHL,0,128,0,0,15,0,0,29,8.0,0,[],4,0,0,CBH
0,0,7,0,2981,53,1,1968-69,0,22,3.14,NHL,0,156,0,0,22,0,0,30,7.3,2,[],2,1,0,CBH
0,0,5,0,1704,31,0,1969-70,0,8,3.06,NHL,0,87,0,0,16,0,0,31,4.1,0,[],0,0,0,TOT
0,0,1,0,557,10,0,1969-70,0,3,2.69,NHL,0,25,0,0,5,0,0,31,1.7,0,[],0,0,0,CBH
0,0,4,0,1147,21,0,1969-70,0,5,3.24,NHL,0,62,0,0,11,0,0,31,2.5,0,[],0,0,0,LAK
0,0,0,0,3375,60,0,1970-71,0,18,3.80,NHL,0,214,0,0,29,0,0,32,5.5,0,[],1,0,0,LAK
0,0,1,0,623,12,1,1971-72,0,3,4.62,NHL,0,48,0,0,7,0,0,33,0.1,0,[],0,1,0,TOT
0,0,0,0,291,5,0,1971-72,0,0,4.74,NHL,0,23,0,0,5,0,0,33,0.0,0,[],0,0,0,LAK
0,0,1,0,332,7,1,1971-72,0,3,4.52,NHL,0,25,0,0,2,0,0,33,0.1,0,[],0,1,0,MTL
0,0,3,0,1331,24,0,1972-73,0,8,3.74,NHL,0,83,0,0,11,0,0,34,2.7,0,[],1,0,0,DET
0,0,0,0,20,1,0,1973-74,0,0,12.00,NHL,0,4,0,0,1,0,0,35,-0.2,0,[],0,0,0,DET
