goals_allowed_precentage,goalie_point_share,goals_saved_aboved_average,bad_start,year,awards,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0.7,0,0,1990-91,[],8,195,1,0,0,85,93,0,CHI,0,0,0,2.46,26,NHL,.914,0,5,0,3,0
95,2.4,2.19,0,1991-92,[],44,1014,1,8,0,369,413,0,CHI,1,0,0,2.60,27,NHL,.893,0,20,0,10,4
91,4.4,7.86,0,1992-93,[],75,1429,4,0,0,645,720,0,BUF,0,0,0,3.15,28,NHL,.896,0,28,0,11,10
0,13.1,53.85,0,1993-94,"[{'link': '/awards/nhl_all_star.html#1994', 'name': None}, {'link': '/awards/voting-1994.html#hart', 'name': 'Hart-2'}, {'link': '/awards/jennings.html#1994', 'name': None}, {'link': '/awards/vezina.html#1994', 'name': None}]",109,3358,6,6,0,1443,1552,3,BUF,0,0,0,0,29,NHL,0,0,58,3,30,20
0,0,0,0,1994-95,"[{'link': '/awards/nhl_all_star.html#1995', 'name': None}, {'link': '/awards/voting-1995.html#hart', 'name': 'Hart-3'}, {'link': '/awards/vezina.html#1995', 'name': None}]",85,2416,7,2,0,1136,1221,0,BUF,0,0,0,0,30,NHL,0,0,41,0,19,14
0,0,0,0,1995-96,"[{'link': '/awards/voting-1996.html#AS', 'name': 'AS-7'}, {'link': '/awards/voting-1996.html#vezina', 'name': 'Vezina-8'}]",161,3417,6,6,0,1850,2011,1,BUF,2,0,0,2.83,31,NHL,0,0,59,1,22,0
0,0,0,0,1996-97,"[{'link': '/awards/nhl_all_star.html#1997', 'name': None}, {'link': '/awards/hart.html#1997', 'name': None}, {'link': '/awards/pearson.html#1997', 'name': None}, {'link': '/awards/vezina.html#1997', 'name': None}]",153,4037,10,30,0,2024,2177,3,BUF,5,0,0,2.27,32,NHL,0,0,67,3,37,20
0,0,0,0,1997-98,"[{'link': '/awards/nhl_all_star.html#1998', 'name': None}, {'link': '/awards/hart.html#1998', 'name': None}, {'link': '/awards/pearson.html#1998', 'name': None}, {'link': '/awards/vezina.html#1998', 'name': None}]",147,0,13,12,0,0,0,2,BUF,0,0,0,2.09,33,NHL,0,0,0,2,33,23
0,0,0,0,1998-99,"[{'link': '/awards/nhl_all_star.html#1999', 'name': None}, {'link': '/awards/voting-1999.html#hart', 'name': 'Hart-3'}, {'link': '/awards/vezina.html#1999', 'name': None}]",119,3817,14,14,0,1758,1877,0,BUF,9,0,0,1.87,34,NHL,0,0,64,0,30,18
0,7.2,13.58,0,1999-00,"[{'link': '/awards/voting-2000.html#hart', 'name': 'Hart-17'}, {'link': '/awards/voting-2000.html#vezina', 'name': 'Vezina-8'}]",76,2066,6,12,0,861,937,1,BUF,3,0,0,2.21,35,NHL,.919,0,35,1,15,11
82,13.9,29.97,0,2000-01,"[{'link': '/awards/nhl_all_star.html#2001', 'name': None}, {'link': '/awards/voting-2001.html#hart', 'name': 'Hart-8'}, {'link': '/awards/jennings.html#2001', 'name': None}, {'link': '/awards/vezina.html#2001', 'name': None}]",137,3904,4,22,0,1589,1726,3,BUF,0,0,0,2.11,36,NHL,.921,0,67,3,37,24
92,11.6,12.58,0,2001-02,"[{'link': '/awards/voting-2002.html#AS', 'name': 'AS-4'}, {'link': '/awards/voting-2002.html#vezina', 'name': 'Vezina-6'}]",140,3872,8,8,0,1514,1654,1,DET,5,0,0,2.17,37,NHL,.915,0,65,1,0,15
0,1.8,0,0,2003-04,[],30,817,2,2,0,294,324,2,DET,2,0,0,2.20,39,NHL,.907,0,14,2,8,3
76,10.3,28.68,0,2005-06,"[{'link': '/awards/voting-2006.html#AS', 'name': 'AS-7'}, {'link': '/awards/voting-2006.html#vezina', 'name': 'Vezina-7'}]",90,2584,4,16,0,1112,1202,0,OTT,5,0,0,2.09,41,NHL,.925,0,43,0,28,10
92,9.1,10.04,0,2006-07,"[{'link': '/awards/voting-2007.html#AS', 'name': 'AS-3'}, {'link': '/awards/voting-2007.html#hart', 'name': 'Hart-22'}, {'link': '/awards/voting-2007.html#vezina', 'name': 'Vezina-5'}]",114,3341,6,20,0,1195,1309,2,DET,8,0,0,2.05,42,NHL,.913,0,56,2,38,11
108,4.5,-6.33,6,2007-08,"[{'link': '/awards/jennings.html#2008', 'name': None}]",84,2350,3,12,19,771,855,1,DET,5,0,40,2.14,43,NHL,.902,.475,41,1,27,10
