goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,won,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0,0,1990-91,3,,69,0,0,0,36,39,1,CHI,0,0,0,2.61,26,NHL,.923,0,3,1,0,0
0,0,0,1991-92,8,,158,0,0,0,62,70,0,CHI,0,0,0,3.04,27,NHL,.886,0,3,0,0,2
0,0,0,1992-93,1,,45,0,0,0,23,24,0,BUF,0,0,0,1.33,28,NHL,.958,0,1,0,1,0
54,10.95,0,1993-94,13,,484,0,2,0,248,261,0,BUF,2,0,0,0,29,NHL,0,0,7,0,3,4
128,-3.92,0,1994-95,18,,309,0,0,0,113,131,0,BUF,0,0,0,3.50,30,NHL,.863,0,5,0,1,4
0,0,0,1996-97,5,,153,0,2,0,63,68,0,BUF,0,0,0,1.96,32,NHL,.926,0,3,0,1,1
73,11.65,0,1997-98,32,,948,0,4,0,482,514,0,BUF,1,0,0,2.03,33,NHL,.938,0,15,0,10,5
72,14.03,0,1998-99,36,,1217,0,8,0,551,587,1,BUF,2,0,0,1.77,34,NHL,0,0,19,1,13,6
100,0.01,0,1999-00,12,,301,0,2,0,135,147,0,BUF,0,0,0,2.39,35,NHL,.918,0,5,0,1,4
95,1.42,0,2000-01,29,,833,0,14,0,318,347,0,BUF,1,0,0,2.09,36,NHL,.916,0,13,0,7,6
97,1.25,0,2001-02,45,SC,0,0,8,0,517,562,1,DET,0,0,0,1.86,37,NHL,.920,0,0,1,0,7
94,2.05,0,2006-07,34,,1140,0,2,0,410,444,0,DET,2,0,0,1.79,42,NHL,.923,0,18,0,10,0
131,-2.36,1,2007-08,10,SC,206,0,2,2,79,89,0,DET,0,0,4,2.91,43,NHL,.888,.500,4,0,2,2
