even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,2,OTT,0,4,20,0,,NHL,0,11,67,1998-99,4,0.0,,0,2,1
0,0,OTT,0,2,21,0,,NHL,0,14,92,1999-00,6,0.0,,0,0,-8
1,1,OTT,1,4,22,0,,NHL,0,12,76,2000-01,4,8.3,,0,2,1
3,6,OTT,4,2,23,0,,NHL,0,42,229,2001-02,12,9.5,,1,10,2
2,11,OTT,5,6,24,1,,NHL,0,54,336,2002-03,18,9.3,,3,16,-1
2,1,OTT,3,0,25,2,,NHL,0,32,150,2003-04,7,9.4,,1,4,2
0,1,ATL,0,6,28,0,,NHL,0,10,76,2006-07,4,0.0,,0,1,-6
7,14,PIT,12,12,29,2,124,NHL,0,76,420,2007-08,20,15.8,,5,26,8
3,9,DET,6,10,30,1,161,NHL,0,100,429,2008-09,23,6.0,,2,15,5
3,12,CHI,3,25,31,1,122,NHL,0,73,405,2009-10,22,4.1,SC,0,15,7
1,4,CHI,2,2,32,1,24,NHL,0,16,130,2010-11,7,12.5,,1,6,0
0,0,CHI,0,0,33,0,15,NHL,0,10,52,2011-12,3,0.0,,0,0,3
4,9,CHI,7,2,34,2,115,NHL,0,70,439,2012-13,22,10.0,SC,3,16,8
1,12,CHI,2,8,35,0,122,NHL,0,75,388,2013-14,19,2.7,,1,14,0
2,13,CHI,4,10,36,2,120,NHL,0,0,457,2014-15,23,5.8,SC,1,17,7
2,2,CHI,3,0,37,0,54,NHL,0,33,126,2015-16,7,9.1,,0,5,0
0,0,CHI,0,2,38,0,22,NHL,0,15,76,2016-17,4,0.0,,0,0,-4
