shotsPercentage,faceoff_loses,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,giveaways,total_shots,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,takeaways,faceoff_percentage,age,game_winning_goals,league,shorthanded_goals,blocks,average_ice_time,hits,games_played,faceoff_wins,points,awards,power_play_goals
0.0,0,1997-98,0,0,,0,0,0,10,1,0,-1,1,OTT,0,0,0,19,0,NHL,0,0,,0,7,0,1,[],0
12.1,0,1998-99,37,13,839,0,0,0,124,2,14,18,15,OTT,15,0,0,20,2,NHL,0,0,13:59,0,60,0,30,"[{'link': '/awards/voting-1999.html#calder', 'name': 'Calder-2'}]",1
12.1,0,1999-00,32,16,1341,0,0,0,240,11,24,5,27,OTT,29,0,0,21,4,NHL,0,0,17:12,0,78,0,56,[],5
12.9,0,2000-01,44,29,1460,2,0,0,249,12,19,19,43,OTT,32,0,0,22,7,NHL,2,0,18:01,0,81,0,75,"[{'link': '/awards/voting-2001.html#AS', 'name': 'AS-12'}, {'link': '/awards/voting-2001.html#selke', 'name': 'Selke-14'}]",11
11.2,0,2001-02,50,21,1479,1,0,0,278,13,21,11,35,OTT,31,0,0,23,4,NHL,1,0,18:29,0,80,0,66,[],9
19.7,0,2002-03,34,16,1481,0,0,0,229,19,31,8,35,OTT,45,0,0,24,10,NHL,0,0,18:31,0,80,0,80,"[{'link': '/awards/voting-2003.html#AS', 'name': 'AS-3'}, {'link': '/awards/voting-2003.html#byng', 'name': 'Byng-5'}, {'link': '/awards/voting-2003.html#hart', 'name': 'Hart-10'}, {'link': '/awards/voting-2003.html#selke', 'name': 'Selke-20'}]",14
15.5,0,2003-04,46,21,1509,0,0,0,233,25,21,4,46,OTT,36,0,0,25,5,NHL,1,0,18:37,0,81,0,82,"[{'link': '/awards/voting-2004.html#AS', 'name': 'AS-3'}, {'link': '/awards/voting-2004.html#byng', 'name': 'Byng-27'}, {'link': '/awards/voting-2004.html#hart', 'name': 'Hart-18'}]",14
11.4,0,2005-06,67,27,1735,1,0,0,341,25,18,17,53,ATL,39,0,0,27,7,NHL,0,0,21:41,0,80,0,92,"[{'link': '/awards/voting-2006.html#AS', 'name': 'AS-6'}, {'link': '/awards/voting-2006.html#selke', 'name': 'Selke-14'}]",14
12.6,0,2006-07,49,29,1778,1,0,0,340,27,23,18,57,ATL,43,0,0,28,5,NHL,3,0,21:41,0,82,0,100,"[{'link': '/awards/voting-2007.html#AS', 'name': 'AS-3'}, {'link': '/awards/voting-2007.html#byng', 'name': 'Byng-18'}, {'link': '/awards/voting-2007.html#hart', 'name': 'Hart-10'}, {'link': '/awards/voting-2007.html#selke', 'name': 'Selke-25'}]",17
11.0,11,2007-08,36,16,1538,0,35,401,264,21,19,-14,37,TOT,29,64,26.7,29,4,NHL,2,19,21:22,63,72,4,66,"[{'link': '/awards/voting-2008.html#AS', 'name': 'AS-12'}, {'link': '/awards/voting-2008.html#byng', 'name': 'Byng-60'}, {'link': '/awards/voting-2008.html#selke', 'name': 'Selke-35'}]",8
