assists,team,goals,year,games_played,points,pim,age,plus_minus,league
7,Kiekko-Warkaus Varkaus,11,1993-94,24,18,12,19,0,Finland-3
23,Kiekko-Warkaus Varkaus,23,1994-95,29,46,28,20,0,Finland-3
24,Diskos Jyvaskyla,28,1995-96,53,52,18,21,0,Finland-2
13,Hermes Kokkola,10,1996-97,35,23,43,22,0,Finland-2
16,Hermes Kokkola,19,1997-98,49,35,36,23,0,Finland-2
0,Hermes Kokkola,0,1998-99,1,0,0,24,0,Finland-2
21,HPK Hameenlinna,13,1998-99,41,34,32,24,0,Finland
28,HPK Hameenlinna,17,1999-00,53,45,76,25,0,Finland
3,Finland,3,1999-00,9,6,12,25,9,WC-A
28,Jokerit Helsinki,27,2000-01,56,55,24,26,0,Finland
3,Finland,1,2000-01,9,4,2,26,5,WC-A
3,Saint John Flames,3,2001-02,9,6,0,27,1,AHL
11,Jokerit Helsinki,11,2002-03,48,22,28,28,0,Finland
28,HC Fribourg-Gotteron,25,2003-04,47,53,22,29,0,Swiss
3,Finland,3,2003-04,7,6,2,29,4,WC-A
1,Finland,1,2004-05,6,2,2,30,0,W-Cup
20,HC Fribourg-Gotteron,24,2004-05,44,44,46,30,0,Swiss
1,Finland,3,2004-05,7,4,6,30,2,WC-A
16,HC Lugano,24,2005-06,44,40,44,31,0,Swiss
0,Finland,0,2005-06,8,0,2,31,0,Olympics
3,Finland,1,2005-06,9,4,20,31,2,WC-A
20,HC Lugano,26,2006-07,44,46,63,32,0,Swiss
1,Finland,4,2006-07,9,5,4,32,3,WC-A
17,Ak Bars Kazan,10,2007-08,33,27,10,33,0,Russia
9,HC Lugano,5,2007-08,13,14,6,33,0,Swiss
13,Ak Bars Kazan,15,2008-09,54,28,36,34,0,KHL
22,Jokerit Helsinki,28,2009-10,58,50,50,35,0,Finland
26,Jokerit Helsinki,6,2010-11,55,32,38,36,0,Finland
13,KalPa Kuopio,18,2011-12,55,31,18,37,0,Finland
14,KalPa Kuopio,7,2012-13,45,21,20,38,0,Finland
