assists,year,games_played,points,goals,team,age,pim,plus_minus,league
0,1928-29,4,4,4,Calgary Jimmies,16,0,0,CCJHL
1,1930-31,34,2,1,Seattle Eskimos,18,18,0,PCHL
0,1931-32,2,0,0,Syracuse Stars,19,0,0,IHL
9,1933-34,34,20,11,Seattle Seahawks,21,24,0,NWHL
9,1934-35,37,24,15,Vancouver Lions,22,22,0,NWHL
6,1935-36,41,23,17,2 Teams,23,11,0,NWHL
4,1935-36,25,14,10,Vancouver Lions,23,6,0,NWHL
2,1935-36,16,9,7,Edmonton Eskimos,23,5,0,NWHL
0,1936-37,10,2,2,Spokane/Seattle,24,2,0,PCHL
20,1937-38,43,30,10,Tulsa Oilers,25,22,0,AHA
18,1938-39,48,34,16,Tulsa Oilers,26,31,0,AHA
16,1939-40,39,30,14,Kansas City Greyhounds,27,19,0,AHA
1,1940-41,5,1,0,Kansas City Americans,28,0,0,AHA
40,1941-42,58,86,46,Johnstown Bluebirds,29,32,0,EAHL
11,1942-43,31,15,4,2 Teams,30,8,0,AHL
9,1942-43,27,13,4,Washington Lions,30,6,0,AHL
2,1942-43,4,2,0,Buffalo Bisons,30,2,0,AHL
0,1943-44,1,1,1,Boston Olympics,31,0,0,EAHL
18,1943-44,24,41,23,Toronto Staffords,31,14,0,TMHL
0,1944-45,1,0,0,Toronto Staffords,32,0,0,OHA-Sr.
