goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,won,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0,0,1994-95,1,,26,0,0,0,10,11,0,CHI,0,0,0,2.31,26,NHL,.909,0,2,0,0,0
0,0,0,1995-96,5,,60,0,0,0,27,32,0,CHI,0,0,0,5.00,27,NHL,.844,0,1,0,0,1
162,-9.60,0,1996-97,25,,345,0,0,0,165,190,0,CHI,0,0,0,4.35,28,NHL,.868,0,6,0,2,4
0,0,0,2002-03,5,,179,0,0,0,71,76,0,BOS,0,0,0,1.68,34,NHL,.934,0,3,0,1,2
