game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
2,-6,141,0,57,16,1984-85,12,4,25,8,,NHL,17.7,4,21,120,"[{'link': '/awards/voting-1985.html#calder', 'name': 'Calder-14'}]",41,13,,HAR
8,16,167,0,57,35,1985-86,29,0,33,6,,NHL,19.8,6,22,124,"[{'link': '/awards/voting-1986.html#AS', 'name': 'AS-11'}, {'link': '/awards/voting-1986.html#hart', 'name': 'Hart-10'}]",68,27,,HAR
7,7,234,0,78,39,1986-87,25,0,40,11,,NHL,17.1,14,23,110,"[{'link': '/awards/voting-1987.html#AS', 'name': 'AS-4'}, {'link': '/awards/voting-1987.html#hart', 'name': 'Hart-13'}, {'link': '/awards/voting-1987.html#selke', 'name': 'Selke-10'}]",79,29,,HAR
4,-14,223,1,74,25,1987-88,13,0,25,5,,NHL,11.2,11,24,217,[],50,20,,HAR
4,-6,294,0,79,44,1988-89,27,1,45,20,,NHL,15.3,17,25,167,"[{'link': '/awards/voting-1989.html#AS', 'name': 'AS-4'}]",89,24,,HAR
2,7,214,0,67,41,1989-90,21,2,25,8,,NHL,11.7,20,26,164,"[{'link': '/awards/voting-1990.html#selke', 'name': 'Selke-29'}]",66,15,,HAR
2,-15,161,0,61,30,1990-91,17,0,17,4,,NHL,10.6,13,27,104,[],47,13,,HAR
5,-5,225,1,80,32,1991-92,20,3,30,6,,NHL,13.3,11,28,153,[],62,21,,TOT
1,-6,28,0,16,2,1991-92,1,0,4,1,,NHL,14.3,1,28,23,[],6,3,,HAR
4,1,197,1,64,30,1991-92,19,3,26,5,,NHL,13.2,10,28,130,[],56,18,,PHI
7,14,241,4,83,28,1992-93,18,3,35,6,,NHL,14.5,6,29,201,[],63,26,,PHI
2,-9,156,0,71,23,1993-94,19,1,19,5,,NHL,12.2,4,30,113,[],42,13,,PHI
2,-1,55,1,40,5,1994-95,4,0,8,4,,NHL,14.5,0,31,39,[],13,4,,PHI
0,-1,66,0,46,9,1995-96,6,0,2,0,,NHL,3.0,3,32,117,[],11,2,,TOT
0,-8,31,0,26,2,1995-96,1,0,0,0,,NHL,0.0,1,32,50,[],2,0,,PHI
0,7,35,0,20,7,1995-96,5,0,2,0,,NHL,5.7,2,32,67,[],9,2,,HAR
5,-6,185,1,78,29,1996-97,21,0,19,8,,NHL,10.3,7,33,141,[],48,11,,HAR
1,-7,96,0,54,16,1997-98,12,0,7,0,,NHL,7.3,4,34,105,[],23,7,,CAR
1,5,86,0,67,10,1998-99,9,0,8,0,9:58,NHL,9.3,1,35,97,[],18,8,668,CAR
1,2,71,0,67,8,1999-00,8,0,4,0,9:31,NHL,5.6,0,36,57,[],12,4,638,OTT
3,2,74,0,66,7,2000-01,7,0,8,0,10:37,NHL,10.8,0,37,126,[],15,8,701,CBJ
0,-6,73,0,59,8,2001-02,7,0,5,0,10:07,NHL,6.8,1,38,62,[],13,5,597,CBJ
0,0,7,0,4,0,2002-03,0,0,0,0,10:40,NHL,0.0,0,39,12,[],0,0,43,CBJ
