game_winning_goals,shotsPercentage,plus_minus,shots,power_play_goals,age,average_ice_time,games_played,assists,year,points,shorthanded_goals,goals,even_strength_goals,team,win,pim,total_ice_time,league
2,21.4,2,28,1,22,,10,7,1985-86,13,0,6,5,HAR,,18,,NHL
0,15.4,-1,13,1,23,,6,1,1986-87,3,0,2,1,HAR,,31,,NHL
1,23.5,2,17,1,24,,6,4,1987-88,8,0,4,3,HAR,,8,,NHL
0,10.0,0,10,0,25,,4,0,1988-89,1,0,1,1,HAR,,10,,NHL
1,20.0,4,15,0,26,,6,2,1989-90,5,0,3,3,HAR,,18,,NHL
0,9.1,-3,11,0,27,,6,0,1990-91,1,0,1,1,HAR,,16,,NHL
1,25.0,2,24,1,31,,15,4,1994-95,10,0,6,5,PHI,,18,,NHL
0,0.0,0,4,0,35,8:01,6,0,1998-99,0,0,0,0,CAR,,8,48,NHL
