average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,23,0,0,WHA,21,0,191,0,0,3,0,0,0,1973-74,VNB,3,20,[],0,,0
,19,0,1,NHL,22,14,172,28,84,3,0,1,0,1974-75,PIT,4,15,[],4.8,,59
,17,2,0,NHL,23,9,105,-4,64,6,1,0,1,1975-76,PIT,7,10,[],10.9,,64
,11,0,0,NHL,24,7,67,-22,87,3,0,0,1,1976-77,CLR,3,8,[],3.4,,54
,10,1,0,NHL,25,6,103,-19,54,0,1,0,3,1977-78,PIT,1,9,[],1.9,,55
,20,1,0,NHL,26,17,137,14,52,2,0,0,1,1978-79,PIT,2,18,[],3.8,,65
,13,0,0,NHL,27,11,196,-18,80,2,0,0,0,1979-80,EDM,2,11,[],2.5,,72
,9,0,0,NHL,28,8,75,10,37,1,0,0,0,1980-81,VAN,1,8,[],2.7,,42
,8,0,0,NHL,29,7,131,4,35,0,0,1,0,1981-82,VAN,0,8,[],0.0,,47
,8,0,0,NHL,30,7,74,2,30,1,0,0,0,1982-83,DET,1,7,[],3.3,,53
,7,1,0,NHL,31,3,108,0,48,3,0,1,0,1983-84,DET,3,4,[],6.3,,68
,6,0,0,NHL,32,5,124,-14,36,1,0,0,0,1984-85,DET,1,5,[],2.8,,57
