shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
0.0,1994-95,0,3,,0,3,0,0,2,3,BUF,0,22,0,NHL,0,,4,3,[],0
14.1,1995-96,37,7,,1,71,2,5,-21,10,BUF,10,23,1,NHL,0,,58,20,[],5
15.5,1996-97,54,23,,1,142,5,18,9,29,BUF,22,24,6,NHL,2,,81,51,[],2
12.1,1997-98,36,11,,3,116,7,8,-2,21,BUF,14,25,1,NHL,2,,69,35,[],4
11.9,1998-99,45,11,1338,1,143,5,12,2,17,BUF,17,26,2,NHL,0,16:31,81,34,[],5
9.6,1999-00,51,18,1090,0,104,2,7,-3,20,TOT,10,27,2,NHL,2,14:56,73,30,[],1
8.6,1999-00,30,15,863,0,81,2,6,4,17,BUF,7,27,2,NHL,1,14:38,59,24,[],0
13.0,1999-00,21,3,226,0,23,0,1,-7,3,TBL,3,27,0,NHL,1,16:10,14,6,[],1
12.6,2000-01,64,19,1123,0,87,6,8,-9,25,TBL,11,28,2,NHL,0,16:03,70,36,[],3
5.0,2001-02,4,1,214,0,20,1,1,-4,2,TBL,1,29,0,NHL,0,9:19,23,3,[],0
4.3,2002-03,8,1,193,0,23,2,1,-5,3,TOT,1,30,0,NHL,0,13:48,14,4,[],0
0.0,2002-03,2,1,46,0,3,0,0,1,1,TBL,0,30,0,NHL,0,9:08,5,1,[],0
5.0,2002-03,6,0,148,0,20,2,1,-6,2,PIT,1,30,0,NHL,0,16:24,9,3,[],0
7.3,2003-04,40,11,1226,0,96,4,5,-31,15,TOT,7,31,1,NHL,1,16:34,74,22,[],1
7.3,2003-04,38,11,1027,0,82,4,4,-27,15,PIT,6,31,1,NHL,1,16:50,61,21,[],1
7.1,2003-04,2,0,199,0,14,0,1,-4,0,CBJ,1,31,0,NHL,0,15:17,13,1,[],0
