age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
23,,33.3,1,1,3,NHL,3,0,1984-85,1,6,2,,1,10,,CGY,3
24,,12.2,2,10,-5,NHL,0,0,1985-86,1,41,5,,3,80,,CGY,15
25,,0.0,0,2,0,NHL,2,0,1986-87,0,3,0,,0,6,,CGY,2
26,,23.1,2,2,3,NHL,9,0,1987-88,1,13,3,,1,26,,CGY,5
27,SC,14.6,3,13,2,NHL,0,1,1988-89,1,41,6,,2,46,,CGY,19
28,,22.2,2,2,2,NHL,6,0,1989-90,0,9,2,,0,2,,CGY,4
29,,11.1,1,2,-2,NHL,7,0,1990-91,0,9,1,,0,8,,CGY,3
31,,28.6,3,2,1,NHL,6,1,1992-93,1,14,4,,0,4,,CGY,6
32,,0,0,1,-2,NHL,3,0,1993-94,0,0,0,,0,4,,CGY,1
33,,0.0,0,3,2,NHL,7,0,1994-95,0,12,0,,0,2,,CGY,3
34,,25.0,2,4,4,NHL,12,0,1995-96,1,12,3,,1,11,,PHI,7
35,,4.3,1,5,3,NHL,18,0,1996-97,0,23,1,,0,8,,PHI,6
36,,0.0,0,0,-1,NHL,5,0,1997-98,0,8,0,,0,0,,PHI,0
