assists,year,games_played,points,goals,team,age,pim,plus_minus,league
80,1986-87,65,134,54,Art Van Major Midgets,16,0,0,USAHA
43,1987-88,56,104,61,Detroit Compuware Ambassadors,17,0,0,NAHL
1,1988-89,33,4,3,University of North Dakota,18,30,0,WCHA
9,1989-90,42,19,10,University of North Dakota,19,50,0,WCHA
18,1990-91,42,37,19,University of North Dakota,20,68,0,WCHA
27,1991-92,39,44,17,University of North Dakota,21,90,0,WCHA
42,1992-93,77,71,29,Cleveland Lumberjacks,22,69,0,IHL
13,1993-94,59,22,9,Cleveland Lumberjacks,23,63,0,IHL
0,1994-95,2,0,0,JYP HT Jyvaskyla,24,4,0,Finland
14,1994-95,24,27,13,Johnstown Chiefs,24,30,0,ECHL
3,1994-95,13,4,1,Chicago Wolves,24,39,0,IHL
24,1995-96,47,48,24,South Carolina Stingrays,25,119,0,ECHL
5,1995-96,16,11,6,2 Teams,25,23,0,AHL
0,1995-96,1,0,0,Cornwall Aces,25,0,0,AHL
5,1995-96,15,11,6,Portland Pirates,25,23,0,AHL
18,1996-97,30,38,20,Newcastle Cobras,26,106,0,Britain
7,1997-98,14,13,6,Newcastle Cobras,27,12,0,BH-Cup
10,1997-98,37,18,8,Newcastle Cobras,27,28,0,Britain
