assists,team,goals,year,games_played,points,pim,age,plus_minus,league
2,Milton Merchants,1,1995-96,6,3,4,16,0,ON-Jr.A
68,Milton Merchants,32,1996-97,51,100,68,17,0,ON-Jr.A
69,Milton Merchants,71,1997-98,51,140,65,18,0,ON-Jr.A
30,U. of New Hampshire,31,1998-99,41,61,34,19,0,H-East
19,U. of New Hampshire,22,1999-00,38,41,42,20,0,H-East
23,U. of New Hampshire,18,2000-01,39,41,38,21,0,H-East
45,U. of New Hampshire,31,2001-02,40,76,28,22,0,H-East
46,Milwaukee Admirals,29,2002-03,75,75,36,23,17,AHL
37,Milwaukee Admirals,22,2003-04,79,59,35,24,15,AHL
26,Milwaukee Admirals,24,2004-05,59,50,42,25,9,AHL
57,Milwaukee Admirals,35,2005-06,80,92,50,26,-2,AHL
81,Chicago Wolves,41,2006-07,73,122,55,27,24,AHL
39,Chicago Wolves,19,2007-08,51,58,52,28,5,AHL
49,Grand Rapids Griffins,31,2008-09,79,80,26,29,-22,AHL
41,Lake Erie Monsters,23,2009-10,66,64,60,30,-13,AHL
47,Chicago Wolves,27,2010-11,77,74,60,31,7,AHL
36,Chicago Wolves,21,2011-12,70,57,32,32,9,AHL
37,Chicago Wolves,20,2012-13,71,57,58,33,12,AHL
