game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
0,3,1,3,16,0,5,0,18,2015-16,0,0,0,0,2,NHL,0.0,0,6,52.9,0,25,8,10:35,[],0,3,0,53,LAK
2,19,-15,78,369,0,70,16,338,2016-17,9,0,6,1,25,NHL,7.7,7,145,47.8,35,26,144,12:27,[],22,22,5,872,LAK
