pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Kitchener Greenshirts,3,0,3,OHA-Jr.,3,1951-52,17,0
2,Kitchener Greenshirts,11,0,17,OHA-Jr.,56,1952-53,18,6
10,Kitchener Greenshirts,28,0,48,OHA-Jr.,59,1953-54,19,20
16,Toronto Marlboros,19,0,42,OHA-Jr.,51,1954-55,20,23
7,Chicoutimi Sagueneens,18,0,30,QHL,64,1955-56,21,12
4,Rochester Americans,1,0,3,AHL,13,1956-57,22,2
4,Montreal Royals,13,0,24,QHL,34,1956-57,22,11
8,Montreal Royals,21,0,35,QHL,64,1957-58,23,14
2,Chicoutimi Sagueneens,26,0,41,QHL,59,1958-59,24,15
6,Kingston Frontenacs,22,0,35,EPHL,62,1959-60,25,13
6,Montreal Royals,9,0,14,EPHL,47,1960-61,26,5
8,Knoxville Knights,17,0,30,EHL,46,1961-62,27,13
6,Knoxville Knights,36,0,70,EHL,68,1962-63,28,34
23,Knoxville Knights,47,0,74,EHL,72,1963-64,29,27
24,Knoxville Knights,40,0,83,EHL,71,1964-65,30,43
4,Knoxville Knights,43,0,69,EHL,72,1965-66,31,26
