shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,goalie_point_share,pim,awards,shutouts,points,bad_start,team
579,.313,2,515,1075,19,0,2009-10,0,4,3.57,NHL,16,64,125,-12.62,10,5,.889,23,2.0,0,[],0,0,4,EDM
1103,.545,8,1010,2061,35,0,2010-11,0,12,2.71,NHL,33,93,97,3.09,13,18,.916,24,6.9,2,[],2,0,6,EDM
1380,.548,3,1262,2653,47,1,2011-12,0,20,2.67,NHL,42,118,99,1.32,20,23,.914,25,8.5,0,[],2,1,6,EDM
1132,.541,6,1042,2101,38,0,2012-13,0,14,2.57,NHL,37,90,90,9.70,16,20,.920,26,8.1,0,[],2,0,5,EDM
945,.355,3,842,1802,34,0,2013-14,0,11,3.43,NHL,31,103,126,-21.57,18,11,.891,27,3.1,6,[],2,0,8,TOT
885,.379,2,791,1678,32,0,2013-14,0,11,3.36,NHL,29,94,123,-17.74,17,11,.894,27,3.2,6,[],2,0,7,EDM
60,.000,1,51,124,2,0,2013-14,0,0,4.35,NHL,2,9,0,0,1,0,.850,27,-0.1,0,[],0,0,1,NSH
1625,.655,4,1510,3328,58,2,2014-15,0,36,2.07,NHL,55,115,83,23.70,14,36,.929,28,12.6,2,"[{'link': '/awards/nhl_all_star.html#2015', 'name': None}, {'link': '/awards/voting-2015.html#hart', 'name': 'Hart-4'}, {'link': '/awards/masterton.html#2015', 'name': None}, {'link': '/awards/voting-2015.html#vezina', 'name': 'Vezina-3'}]",6,2,4,TOT
561,.500,2,514,1035,19,0,2014-15,0,9,2.72,NHL,16,47,98,0.88,5,8,.916,28,3.5,0,"[{'link': '/awards/nhl_all_star.html#2015', 'name': None}, {'link': '/awards/voting-2015.html#hart', 'name': 'Hart-4'}, {'link': '/awards/masterton.html#2015', 'name': None}, {'link': '/awards/voting-2015.html#vezina', 'name': 'Vezina-3'}]",1,0,2,ARI
1064,.718,2,996,2293,39,2,2014-15,0,27,1.78,NHL,39,68,75,22.82,9,28,.936,28,9.1,2,"[{'link': '/awards/nhl_all_star.html#2015', 'name': None}, {'link': '/awards/voting-2015.html#hart', 'name': 'Hart-4'}, {'link': '/awards/masterton.html#2015', 'name': None}, {'link': '/awards/voting-2015.html#vezina', 'name': 'Vezina-3'}]",5,2,2,MIN
1829,.515,6,1679,3861,67,0,2015-16,0,32,2.33,NHL,66,150,96,5.73,26,34,.918,29,11.5,8,"[{'link': '/awards/voting-2016.html#AS', 'name': 'AS-11'}]",5,0,5,MIN
1842,.619,5,1701,3758,65,0,2016-17,0,40,2.25,NHL,63,141,88,18.41,19,39,.923,30,13.1,10,"[{'link': '/awards/voting-2017.html#AS', 'name': 'AS-4'}, {'link': '/awards/voting-2017.html#hart', 'name': 'Hart-15'}, {'link': '/awards/voting-2017.html#vezina', 'name': 'Vezina-5'}]",5,0,7,MIN
