shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,pim,shutouts,points,bad_start,team
0,0,0,0,815,14,0,2000-01,0,0,2.87,CBHL,0,39,0,0,0,0,0,14,0,2,0,0,Calgary Bruins
0,0,2,0,1105,18,0,2001-02,0,7,3.69,CBHL,0,68,0,0,9,0,0,15,0,1,0,0,Calgary Bruins
80,0,0,67,143,3,1,2001-02,0,1,5.45,WHL,0,13,0,0,1,0,.838,15,0,0,1,0,Kamloops Blazers
707,0,1,641,1278,26,1,2002-03,0,12,3.10,WHL,0,66,0,0,8,0,.907,16,0,2,1,0,Kamloops Blazers
1278,0,5,1172,2532,44,2,2003-04,0,20,2.51,WHL,0,106,0,0,18,0,.917,17,10,6,2,0,Kamloops Blazers
0,0,0,0,357,6,0,2003-04,0,3,2.02,WJ18-A,0,12,0,0,3,0,0,17,0,1,0,0,Canada
1896,0,7,1730,3699,65,4,2004-05,0,23,2.69,WHL,0,166,0,0,34,0,.912,18,12,6,4,0,Kamloops Blazers
1554,0,1,1418,3207,54,1,2005-06,0,27,2.54,WHL,0,136,0,0,26,0,.912,19,35,1,1,0,Kamloops Blazers
69,0,0,59,204,4,0,2006-07,0,2,2.94,AHL,0,10,0,0,1,0,.855,20,0,0,0,0,Wilkes-Barre Penguins
1372,0,7,1264,2529,43,0,2006-07,0,24,2.56,ECHL,0,108,0,0,11,0,.921,20,10,2,0,0,Stockton Thunder
961,0,0,869,1772,33,1,2007-08,0,9,3.12,AHL,0,92,0,0,17,0,.904,21,4,0,1,0,Springfield Falcons
1910,0,2,1730,3635,62,1,2008-09,0,18,2.97,AHL,0,180,0,0,41,0,.906,22,16,3,1,0,Springfield Falcons
1177,0,2,1077,1985,33,0,2009-10,0,13,3.02,AHL,0,100,0,0,17,0,.915,23,2,0,0,0,Springfield Falcons
8,0,0,8,14,1,0,2010-11,0,0,0.00,WC-A,0,0,0,0,0,0,1.000,24,0,0,0,0,Canada
46,0,0,44,120,2,0,2011-12,0,2,1.00,WC-A,0,2,0,0,0,0,.957,25,0,1,0,0,Canada
69,0,0,63,243,4,0,2012-13,0,4,1.48,WC-A,0,6,0,0,0,0,.913,26,0,0,0,0,Canada
0,0,0,0,0,0,0,2013-14,0,0,0,AHL,0,0,0,0,0,0,0,27,0,0,0,0,Hamilton Bulldogs
