assists,year,games_played,points,goals,team,age,pim,plus_minus,league
15,1999-00,40,23,8,University of Denver,20,18,0,WCHA
10,2000-01,36,19,9,University of Denver,21,26,0,WCHA
23,2001-02,41,43,20,University of Denver,22,28,0,WCHA
26,2002-03,41,51,25,University of Denver,23,34,0,WCHA
1,2003-04,8,2,1,Chicago Wolves,24,6,0,AHL
41,2003-04,63,74,33,Gwinnett Gladiators,24,88,0,ECHL
8,2004-05,45,12,4,Chicago Wolves,25,69,-2,AHL
9,2004-05,11,15,6,Gwinnett Gladiators,25,14,8,ECHL
34,2005-06,78,51,17,Chicago Wolves,26,72,16,AHL
19,2006-07,80,33,14,Chicago Wolves,27,107,15,AHL
17,2007-08,68,33,16,Chicago Wolves,28,75,18,AHL
27,2008-09,37,49,22,Leksands IF,29,105,0,Sweden-2
21,2009-10,79,37,16,Chicago Wolves,30,69,11,AHL
20,2010-11,58,38,18,Tappara Tampere,31,105,0,Finland
6,2011-12,17,7,1,Chicago Wolves,32,16,4,AHL
