age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
21,,15.4,1,4,0,NHL,5,0,2005-06,0,13,2,109,1,0,,TBL,6
22,,0.0,0,1,3,NHL,6,0,2006-07,0,6,0,128,0,4,,TBL,1
