game_winning_goals,shotsPercentage,plus_minus,shots,power_play_goals,age,average_ice_time,games_played,assists,year,points,shorthanded_goals,goals,even_strength_goals,team,win,pim,total_ice_time,league
0,0.0,1,5,0,26,185,16,0,2005-06,0,0,0,0,MDA,,13,,NHL
0,0.0,0,3,0,27,131,16,0,2006-07,0,0,0,0,ANA,SC,4,,NHL
