assists,year,games_played,points,goals,team,age,pim,plus_minus,league
30,2004-05,39,45,15,North York Rangers Min Mdgt AAA,15,20,0,GTMMHL
0,2004-05,2,0,0,North York Rangers,15,0,0,OPJHL
35,2005-06,36,63,28,North York Rangers Midget AAA,16,0,0,GTHL
0,2005-06,2,2,2,North York Rangers,16,0,0,OPJHL
50,2006-07,70,75,25,Saint John Sea Dogs,17,60,-14,QMJHL
56,2007-08,70,95,39,Saint John Sea Dogs,18,103,17,QMJHL
23,2008-09,26,34,11,Saint John Sea Dogs,19,34,11,QMJHL
5,2008-09,6,7,2,Canada U20,19,4,4,WJC-20
17,2008-09,25,25,8,Drummondville Voltigeurs,19,28,5,QMJHL
15,2009-10,12,22,7,Drummondville Voltigeurs,20,10,18,QMJHL
16,2010-11,37,25,9,Toledo Walleye,21,31,-8,ECHL
4,2010-11,25,4,0,Rockford IceHogs,21,4,-10,AHL
13,2011-12,17,17,4,Toledo Walleye,22,14,9,ECHL
11,2011-12,49,13,2,Rockford IceHogs,22,24,-2,AHL
38,2012-13,37,60,22,Asiago,23,82,0,Italy
0,2013-14,1,0,0,SCL Tigers,24,0,0,NLB
48,2013-14,31,72,24,Asiago,24,50,0,Italy
0,2013-14,1,0,0,Asiago,24,4,0,Italian Supe
0,2013-14,3,0,0,Asiago,24,6,0,Italian Cup
12,2013-14,6,12,0,Asiago,24,34,-2,Continental 
2,2014-15,3,2,0,SCL Tigers,25,2,0,Swiss Cup
38,2014-15,43,63,25,SCL Tigers,25,75,0,NLB
0,2014-15,2,0,0,Team Canada,25,6,-1,Spengler Cup
3,2015-16,4,4,1,Team Canada,26,2,2,Spengler Cup
3,2015-16,2,3,0,SCL Tigers,26,0,0,Swiss Cup
26,2015-16,46,38,12,SCL Tigers,26,42,-11,NLA
4,2016-17,5,5,1,Team Canada,27,18,1,Spengler Cup
1,2016-17,3,2,1,SCL Tigers,27,6,0,Swiss Cup
28,2016-17,48,38,10,SCL Tigers,27,30,-3,NLA
