bad_start,shutouts,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,games_started,age,good_start_precentages,saves,pim,goals,good_starts,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,won,assists,ties,wins,games_played,minutes
0,0,2,3.06,1.88,473,NHL,0,21,0,419,2,0,0,97,54,.886,1984-85,QUE,0,,2,0,9,17,1059
0,0,0,7.50,0,22,NHL,0,22,0,17,0,0,0,0,5,.773,1985-86,QUE,1,,0,0,0,1,40
0,0,0,3.39,-3.92,326,NHL,0,23,0,289,2,0,0,112,37,.887,1986-87,QUE,4,,0,0,7,11,654
0,0,0,2.86,0,23,NHL,0,26,0,20,0,0,0,0,3,.870,1989-90,LAK,2,,0,0,0,3,63
