average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,2,0,0,NHL,20,2,22,-3,9,0,0,0,0,1988-89,STL,0,2,[],0.0,,18
,12,0,0,NHL,21,9,145,-1,34,0,0,0,3,1989-90,STL,0,12,[],0.0,,58
,20,1,0,NHL,22,14,204,19,59,4,1,0,1,1990-91,STL,5,15,[],8.5,,68
,1,0,0,NHL,23,0,20,-2,8,1,0,0,0,1991-92,BOS,1,0,[],12.5,,7
,10,0,0,NHL,24,4,102,6,33,4,1,0,1,1992-93,BOS,5,5,[],15.2,,34
,9,1,0,NHL,25,8,152,-5,55,1,0,0,0,1993-94,BOS,1,8,[],1.8,,58
,3,0,0,NHL,26,1,50,-7,22,2,0,0,0,1994-95,TOT,2,1,[],9.1,,19
,1,0,0,NHL,26,0,18,0,6,1,0,0,0,1994-95,NYR,1,0,[],16.7,,6
,2,0,0,NHL,26,1,32,-7,16,1,0,0,0,1994-95,HAR,1,1,[],6.3,,13
,12,1,0,NHL,27,10,138,10,62,2,0,0,0,1995-96,HAR,2,10,[],3.2,,68
,11,0,0,NHL,28,2,106,-1,67,3,0,1,5,1996-97,TOT,3,8,[],4.5,,54
,7,0,0,NHL,28,1,87,0,40,2,0,1,3,1996-97,HAR,2,5,[],5.0,,41
,4,0,0,NHL,28,1,19,-1,27,1,0,0,2,1996-97,CGY,1,3,[],3.7,,13
