goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
0.2,0,NHL,1,MTL,60,22,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1962-63,0,3.00,0,[],0
0.1,0,NHL,1,MTL,60,28,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1968-69,0,4.00,0,[],0
6.6,0,NHL,30,STL,1651,29,9,0,0,58,0,0,4,4,12,0,0,0,0,0,1969-70,0,0,0,[],0
9.1,0,NHL,51,STL,2859,30,14,0,2,133,0,0,0,3,20,2,0,0,0,0,1970-71,0,2.79,0,[],0
3.4,0,NHL,30,STL,1614,31,18,0,1,92,0,0,2,1,8,1,0,0,0,0,1971-72,0,3.42,2,[],0
0,0,WHA,49,WNJ,2894,32,0,98,0,152,0,2.82,0,2,0,0,0,0,0,.892,1972-73,1411,3.15,0,[],1259
0,0,WHA,37,WNJ,2254,33,0,95,0,123,0,6.64,0,3,0,0,0,0,0,.896,1973-74,1184,3.27,9,[],1061
0,0,WHA,41,TOT,2417,34,0,92,0,131,0,11.88,0,3,0,0,0,0,0,.900,1974-75,1304,3.25,0,[],1173
0,0,WHA,6,WNJ,355,34,0,0,0,16,0,0,0,1,0,0,0,0,0,.925,1974-75,213,2.70,0,[],197
0,0,WHA,35,SDM,2062,34,0,96,0,115,0,4.55,0,2,0,0,0,0,0,.895,1974-75,1091,3.35,0,[],976
0,0,WHA,67,SDM,3823,35,0,92,2,208,0,18.87,0,3,0,2,0,0,0,.895,1975-76,1980,3.26,6,[],1772
0,0,WHA,46,SDM,2506,36,0,89,1,129,0,15.49,0,3,0,1,0,0,0,.896,1976-77,1242,3.09,0,[],1113
0,0,WHA,57,TOT,3381,37,0,88,4,192,0,25.79,0,2,0,4,0,0,0,.891,1977-78,1754,3.41,2,"[{'link': '/awards/wha_all_star.html#1978', 'name': 'ASW-2'}]",1562
0,0,WHA,6,CNS,311,37,0,0,0,26,0,0,0,0,0,0,0,0,0,.822,1977-78,146,5.02,0,"[{'link': '/awards/wha_all_star.html#1978', 'name': 'ASW-2'}]",120
0,0,WHA,51,HSA,3070,37,0,83,4,166,0,33.66,0,2,0,4,0,0,0,.897,1977-78,1608,3.24,2,"[{'link': '/awards/wha_all_star.html#1978', 'name': 'ASW-2'}]",1442
0,0,WHA,37,BRB,2060,38,0,101,3,129,0,-1.18,0,0,0,3,0,0,0,.880,1978-79,1073,3.76,0,[],944
