even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
7,9,BOS,8,35,25,3,97,NHL,0,52,355,2010-11,21,15.4,SC,1,17,11
5,12,BOS,7,14,27,3,69,NHL,0,38,407,2012-13,22,18.4,,2,19,0
