season,points_percentage,coaches,playoff_result,code,ties,team_name,wins,games_played,loses,overtime_loses,points,leage,finishing_position
1984-85,.513,"[{'link': '/coaches/cheevge01c.html', 'name': 'G. Cheevers'}, {'link': '/coaches/sindeha01c.html', 'name': 'H. Sinden'}]",Lost NHL Division Semi-Finals,BOS,10,Boston Bruins,36,80,34,0,82,NHL,4th
1983-84,.650,"[{'link': '/coaches/cheevge01c.html', 'name': 'G. Cheevers'}]",Lost NHL Division Semi-Finals,BOS,6,Boston Bruins,49,80,25,0,104,NHL,1st
1982-83,.688,"[{'link': '/coaches/cheevge01c.html', 'name': 'G. Cheevers'}]",Lost NHL Conference Finals,BOS,10,Boston Bruins,50,80,20,0,110,NHL,1st
1981-82,.600,"[{'link': '/coaches/cheevge01c.html', 'name': 'G. Cheevers'}]",Lost NHL Division Finals,BOS,10,Boston Bruins,43,80,27,0,96,NHL,2nd
1980-81,.544,"[{'link': '/coaches/cheevge01c.html', 'name': 'G. Cheevers'}]",Lost NHL Preliminary Round,BOS,13,Boston Bruins,37,80,30,0,87,NHL,2nd
1979-80,.656,"[{'link': '/coaches/creigfr99c.html', 'name': 'F. Creighton'}, {'link': '/coaches/sindeha01c.html', 'name': 'H. Sinden'}]",Lost NHL Quarter-Finals,BOS,13,Boston Bruins,46,80,21,0,105,NHL,2nd
1978-79,.625,"[{'link': '/coaches/cherrdo01c.html', 'name': 'D. Cherry'}]",Lost NHL Semi-Finals,BOS,14,Boston Bruins,43,80,23,0,100,NHL,1st
1977-78,.706,"[{'link': '/coaches/cherrdo01c.html', 'name': 'D. Cherry'}]",Lost Stanley Cup Final,BOS,11,Boston Bruins,51,80,18,0,113,NHL,1st
1976-77,.663,"[{'link': '/coaches/cherrdo01c.html', 'name': 'D. Cherry'}]",Lost Stanley Cup Final,BOS,8,Boston Bruins,49,80,23,0,106,NHL,1st
1975-76,.706,"[{'link': '/coaches/cherrdo01c.html', 'name': 'D. Cherry'}]",Lost NHL Semi-Finals,BOS,17,Boston Bruins,48,80,15,0,113,NHL,1st
1974-75,.588,"[{'link': '/coaches/cherrdo01c.html', 'name': 'D. Cherry'}]",Lost NHL Preliminary Round,BOS,14,Boston Bruins,40,80,26,0,94,NHL,2nd
1973-74,.724,"[{'link': '/coaches/guidobe01c.html', 'name': 'B. Guidolin'}]",Lost Stanley Cup Final,BOS,9,Boston Bruins,52,78,17,0,113,NHL,1st
1972-73,.686,"[{'link': '/coaches/johnsto01c.html', 'name': 'T. Johnson'}, {'link': '/coaches/guidobe01c.html', 'name': 'B. Guidolin'}]",Lost NHL Quarter-Finals,BOS,5,Boston Bruins,51,78,22,0,107,NHL,2nd
1971-72,.763,"[{'link': '/coaches/johnsto01c.html', 'name': 'T. Johnson'}]",,BOS,11,Boston Bruins,54,78,13,0,119,NHL,1st
1970-71,.776,"[{'link': '/coaches/johnsto01c.html', 'name': 'T. Johnson'}]",Lost NHL Quarter-Finals,BOS,7,Boston Bruins,57,78,14,0,121,NHL,1st
1969-70,.651,"[{'link': '/coaches/sindeha01c.html', 'name': 'H. Sinden'}]",,BOS,19,Boston Bruins,40,76,17,0,99,NHL,2nd
1968-69,.658,"[{'link': '/coaches/sindeha01c.html', 'name': 'H. Sinden'}]",Lost NHL Semi-Finals,BOS,16,Boston Bruins,42,76,18,0,100,NHL,2nd
1967-68,.568,"[{'link': '/coaches/sindeha01c.html', 'name': 'H. Sinden'}]",Lost NHL Quarter-Finals,BOS,10,Boston Bruins,37,74,27,0,84,NHL,3rd
1966-67,.314,"[{'link': '/coaches/sindeha01c.html', 'name': 'H. Sinden'}]",,BOS,10,Boston Bruins,17,70,43,0,44,NHL,6th
1965-66,.343,"[{'link': '/coaches/schmimi01c.html', 'name': 'M. Schmidt'}]",,BOS,6,Boston Bruins,21,70,43,0,48,NHL,5th
1964-65,.343,"[{'link': '/coaches/schmimi01c.html', 'name': 'M. Schmidt'}]",,BOS,6,Boston Bruins,21,70,43,0,48,NHL,6th
1963-64,.343,"[{'link': '/coaches/schmimi01c.html', 'name': 'M. Schmidt'}]",,BOS,12,Boston Bruins,18,70,40,0,48,NHL,6th
