assists,game_winning_goals,goals,age,average_ice_time,offensive_point_share,defensive_point_share,even_strength_goals,total_ice_time,power_play_assists,positions,overall_point_share,even_strength_assists,team,link,shorthanded_assists,pim,power_play_goals,plus_minus,name,shotsPercentage,year,points,shorthanded_goals,games_played,shots
30,1,18,31,,3.5,0.5,14,,0,LW,4.0,0,BOS,/players/b/bucykjo01.html,0,12,4,0,John Bucyk,,1967,48,0,59,0
22,1,20,23,,2.6,0.6,16,,0,C,3.2,0,BOS,/players/m/martipi01.html,0,40,4,0,Pit Martin,,1967,42,0,70,0
28,0,13,18,,3.8,2.2,9,,0,D,6.0,0,BOS,/players/o/orrbo01.html,0,102,3,0,Bobby Orr,,1967,41,1,61,0
19,5,17,29,,1.8,0.6,13,,0,RW,2.4,0,BOS,/players/m/mckenjo01.html,0,98,3,0,John McKenzie,,1967,36,1,69,0
24,0,12,26,,1.3,0.6,11,,0,RW,1.9,0,BOS,/players/w/westfed01.html,0,26,1,0,Ed Westfall,,1967,36,0,70,0
26,2,9,29,,1.2,0.6,8,,0,C,1.7,0,BOS,/players/o/olivemu01.html,0,16,1,0,Murray Oliver,,1967,35,0,65,0
17,1,13,27,,1.1,0.6,12,,0,C,1.7,0,BOS,/players/c/connewa01.html,0,12,1,0,Wayne Connelly,,1967,30,0,64,0
20,1,10,23,,0.7,0.6,9,,0,C,1.3,0,BOS,/players/s/schocro01.html,0,8,1,0,Ron Schock,,1967,30,0,66,0
16,1,11,33,,1.8,0.3,11,,0,RW,2.1,0,BOS,/players/m/murphro01.html,0,6,0,0,Ron Murphy,,1967,27,0,39,0
10,1,14,34,,1.0,0.5,9,,0,C,1.5,0,BOS,/players/s/stewaro01.html,0,31,5,0,Ron Stewart,,1967,24,0,56,0
13,2,8,26,,1.4,0.3,6,,0,RW,1.7,0,BOS,/players/w/willito01.html,0,2,2,0,Tommy Williams,,1967,21,0,29,0
12,1,6,25,,-0.5,0.5,5,,0,C,0.1,0,BOS,/players/d/dillabo01.html,0,14,0,0,Bob Dillabough,,1967,18,1,60,0
10,1,6,26,,1.1,1.7,1,,0,D,2.8,0,BOS,/players/g/greente01.html,0,67,5,0,Ted Green,,1967,16,0,47,0
8,0,7,21,,0.7,2.4,5,,0,D,3.1,0,BOS,/players/m/marotgi01.html,0,112,1,0,Gilles Marotte,,1967,15,1,67,0
13,0,2,23,,0.2,2.5,1,,0,D,2.7,0,BOS,/players/w/watsojo01.html,0,38,1,0,Joe Watson,,1967,15,0,69,0
7,0,2,25,,-0.3,2.3,2,,0,D,2.0,0,BOS,/players/w/woytobo01.html,0,43,0,0,Bob Woytowich,,1967,9,0,64,0
2,0,6,23,,0.6,0.1,4,,0,C,0.8,0,BOS,/players/k/krakesk01.html,0,4,2,0,Skip Krake,,1967,8,0,15,0
5,0,3,22,,0.2,0.2,3,,0,RW,0.4,0,BOS,/players/g/goldsbi01.html,0,21,0,0,Bill Goldsworthy,,1967,8,0,18,0
2,0,2,25,,-0.3,0.2,2,,0,LW,-0.1,0,BOS,/players/p/parisjp01.html,0,10,0,0,J.P. Parise,,1967,4,0,18,0
1,0,2,24,,0.1,0.1,2,,0,RW,0.2,0,BOS,/players/r/riverwa01.html,0,6,0,0,Wayne Rivers,,1967,3,0,8,0
0,0,1,23,,0.1,0.1,1,,0,D,0.3,0,BOS,/players/a/awreydo01.html,0,6,0,0,Don Awrey,,1967,1,0,4,0
1,0,0,20,,-0.5,1.0,0,,0,D,0.5,0,BOS,/players/d/doakga01.html,0,50,0,0,Gary Doak,,1967,1,0,29,0
1,0,0,31,,0.0,0.0,0,,0,G,2.9,0,BOS,/players/j/johnsed01.html,0,0,0,0,Eddie Johnston,,1967,1,0,34,0
1,0,0,19,,-0.3,0.1,0,,0,LW,-0.2,0,BOS,/players/l/lonsbro01.html,0,2,0,0,Ross Lonsberry,,1967,1,0,8,0
1,0,0,25,,-0.6,1.2,0,,0,D,0.6,0,BOS,/players/s/smithda01.html,0,24,0,0,Dallas Smith,,1967,1,0,33,0
0,0,0,19,,0.0,0.1,0,,0,D,0.0,0,BOS,/players/b/beverni01.html,0,0,0,0,Nick Beverley,,1967,0,0,2,0
0,0,0,22,,-0.1,0.0,0,,0,C,-0.1,0,BOS,/players/b/bucharo01.html,0,0,0,0,Ron Buchanan,,1967,0,0,3,0
0,0,0,26,,0.0,0.0,0,,0,G,2.8,0,BOS,/players/c/cheevge01.html,0,12,0,0,Gerry Cheevers,,1967,0,0,22,0
0,0,0,21,,-0.2,0.0,0,,0,RW,-0.1,0,BOS,/players/h/hodgste01.html,0,0,0,0,Ted Hodgson,,1967,0,0,4,0
0,0,0,21,,0.0,0.0,0,,0,G,1.7,0,BOS,/players/p/parenbe01.html,0,2,0,0,Bernie Parent,,1967,0,0,18,0
0,0,0,20,,-0.1,0.0,0,,0,C,-0.1,0,BOS,/players/s/sandede01.html,0,0,0,0,Derek Sanderson,,1967,0,0,2,0
0,0,0,23,,-0.2,0.0,0,,0,LW,-0.2,0,BOS,/players/s/sathegl01.html,0,0,0,0,Glen Sather,,1967,0,0,5,0
0,0,0,19,,0.0,0.0,0,,0,D,0.0,0,BOS,/players/w/wilkiba01.html,0,0,0,0,Barry Wilkins,,1967,0,0,1,0
